Temperature,Rows,Well.Location,Column,WL750,WL664,WL647,WL630,WL449,Sample.Name
23.5,A,A04,04,0.023433333,-0.3081,-0.081333333,-0.012133333,-0.1359,C14_1
23.5,A,A05,05,-0.201666667,-0.3194,-0.190433333,-0.012133333,-0.2271,C14_1
23.5,A,A06,06,-0.201666667,-0.3194,-0.190433333,-0.012133333,0.1116,C14_1
23.5,A,A07,07,-0.121966667,0.0866,-0.190433333,-0.012133333,0.0854,C14_2
23.5,A,A08,08,-0.201666667,-0.1805,-0.190433333,-0.012133333,-0.2271,C14_2
23.5,A,A09,09,-0.091366667,-0.3194,-0.190433333,-0.012133333,-0.2271,C14_2
23.5,A,A10,10,-0.185766667,-0.3194,-0.086833333,0.077766667,0.4955,L10_1
23.5,A,A11,11,-0.191466667,-0.1777,-0.190433333,0.041466667,-0.2039,L10_1
23.5,A,A12,12,-0.201666667,-0.3017,-0.190433333,-0.012133333,-0.2271,L10_1
23.5,B,B01,01,-0.201666667,-0.3194,-0.071533333,0.100166667,-0.0302,L10_2
23.5,B,B02,02,-0.201666667,0.0361,-0.190433333,0.519966667,-0.2271,L10_2
23.5,B,B03,03,-0.127066667,-0.189,0.296766667,0.680366667,0.4152,L10_2
23.5,B,B04,04,-0.009866667,-0.1052,-0.087133333,0.016566667,-0.2271,C16_1
23.5,B,B05,05,-0.062366667,-0.3194,-0.190433333,0.080466667,0.5121,C16_1
23.5,B,B06,06,-0.201666667,-0.3194,-0.031133333,0.074666667,-0.2271,C16_1
23.5,B,B07,07,0.007133333,-0.1934,-0.079833333,0.223666667,-0.0069,C16_2
23.5,B,B08,08,-0.201666667,-0.1565,0.014166667,0.750366667,-0.2271,C16_2
23.5,B,B09,09,-0.092466667,-0.1599,0.010066667,-0.012133333,-0.2271,C16_2
23.5,B,B10,10,-0.201666667,-0.3194,0.018466667,0.148166667,-0.0012,L12_1
23.5,B,B11,11,-0.201666667,-0.1753,-0.190433333,-0.012133333,0.2307,L12_1
23.5,B,B12,12,-0.201666667,-0.3194,-0.190433333,-0.012133333,-0.0619,L12_1
23.5,C,C01,01,-0.141266667,0.2262,-0.190433333,-0.012133333,0.0121,L12_2
23.5,C,C02,02,0.506733333,-0.3194,-0.190433333,0.071666667,-0.2271,L12_2
23.5,C,C03,03,-0.130266667,-0.196,0.370666667,-0.012133333,-0.2271,L12_2
23.5,C,C04,04,-0.201666667,-0.3194,-0.118233333,0.044766667,-0.2271,C15_1
23.5,C,C05,05,-0.201666667,0.2011,0.341166667,0.049966667,-0.2271,C15_1
23.5,C,C06,06,-0.201666667,-0.2271,-0.190433333,0.556466667,-0.09,C15_1
23.5,C,C07,07,0.489733333,-0.1955,0.241866667,0.327466667,0.5002,C15_2
23.5,C,C08,08,-0.201666667,-0.1928,-0.190433333,0.074166667,0.052,C15_2
23.5,C,C09,09,0.022733333,-0.0153,-0.091033333,-0.012133333,0.1611,C15_2
23.5,C,C10,10,-0.201666667,0.1617,-0.190433333,-0.012133333,-0.197,H12_1
23.5,C,C11,11,0.506433333,-0.3194,0.535566667,0.100466667,-0.0926,H12_1
23.5,C,C12,12,-0.124066667,-0.0092,0.415766667,-0.012133333,-0.0697,H12_1
23.5,D,D01,01,0.365933333,-0.1951,-0.190433333,-0.012133333,-0.2271,H12_2
23.5,D,D02,02,-0.201666667,-0.3194,-0.096833333,0.074466667,-0.2271,H12_2
23.5,D,D03,03,-0.129866667,-0.208,-0.096033333,-0.012133333,-0.0671,H12_2
23.5,D,D04,04,-0.201666667,-0.1539,0.337166667,-0.012133333,-0.2271,L11_1
23.5,D,D05,05,0.448033333,-0.3194,-0.190433333,0.076266667,-0.0567,L11_1
23.5,D,D06,06,0.643333333,0.1925,0.143966667,0.672466667,-0.2271,L11_1
23.5,D,D07,07,-0.201666667,-0.2184,-0.190433333,-0.012133333,0.567,L11_2
23.5,D,D08,08,0.629733333,-0.3194,-0.116733333,-0.012133333,-0.2271,L11_2
23.5,D,D09,09,-0.201666667,-0.3194,0.110766667,-0.012133333,-0.0735,L11_2
23.5,D,D10,10,-0.201666667,0.1488,-0.190433333,-0.012133333,-0.2271,L13_1
23.5,D,D11,11,-0.154166667,-0.3194,-0.190433333,-0.012133333,0.211,L13_1
23.5,D,D12,12,0.058333333,-0.2201,-0.190433333,0.442466667,-0.2271,L13_1
23.5,E,E01,01,0.007633333,0.3202,0.005166667,-0.012133333,-0.0616,L13_2
23.5,E,E02,02,-0.201666667,-0.2028,-0.100233333,0.122466667,0.2227,L13_2
23.5,E,E03,03,-0.137066667,0.1052,-0.190433333,-0.012133333,-0.2128,L13_2
23.5,E,E04,04,-0.150066667,-0.3194,-0.101233333,0.061566667,-0.2271,C18_1
23.5,E,E05,05,0.333733333,-0.3194,0.046366667,0.062566667,-0.2271,C18_1
23.5,E,E06,06,-0.201666667,-0.1823,0.039766667,-0.012133333,0.6161,C18_1
23.5,E,E07,07,-0.089066667,-0.3194,-0.082633333,0.082266667,0.308,C18_2
23.5,E,E08,08,-0.201666667,0.0637,-0.190433333,0.012566667,-0.1184,C18_2
23.5,E,E09,09,-0.059666667,-0.1956,-0.190433333,0.163766667,-0.0105,C18_2
23.5,E,E10,10,-0.201666667,-0.3194,0.255166667,0.051466667,-0.0997,L14_1
23.5,E,E11,11,-0.201666667,-0.043,-0.190433333,0.517366667,-0.2271,L14_1
23.5,E,E12,12,-0.201666667,-0.3194,-0.190433333,-0.012133333,-0.0967,L14_1
23.5,F,F01,01,0.431233333,2e-4,-0.190433333,0.418466667,0.5493,L14_2
23.5,F,F02,02,-0.201666667,-0.3194,-0.112633333,0.048966667,-0.2271,L14_2
23.5,F,F03,03,0.526733333,-0.2102,-0.063133333,0.762166667,-0.0647,L14_2
23.5,F,F04,04,0.324333333,-0.2778,0.189166667,0.064266667,0.0765,C17_1
23.5,F,F05,05,-0.148866667,-0.3194,-0.115833333,-0.012133333,-0.2271,C17_1
23.5,F,F06,06,-0.149866667,-0.3194,-0.117833333,-0.012133333,-0.2271,C17_1
23.5,F,F07,07,-0.201666667,-0.2416,0.268866667,-0.012133333,0.1222,C17_2
23.5,F,F08,08,0.607533333,-0.3194,-0.190433333,-0.012133333,-0.2271,C17_2
23.5,F,F09,09,-0.201666667,-0.2438,0.381366667,0.037066667,-0.1139,C17_2
23.5,G,G04,04,-0.082966667,-0.3194,-0.190433333,-0.012133333,-0.2271,H15_1
23.5,G,G05,05,0.197833333,-0.2262,-0.190433333,0.051266667,-0.0865,H15_1
23.5,G,G06,06,-0.201666667,-0.0971,-0.051033333,-0.012133333,-0.173,H15_1
23.5,G,G07,07,-0.201666667,-0.3194,-0.190433333,0.043466667,-0.2271,H15_2
23.5,G,G08,08,-0.098766667,-0.3194,-0.190433333,-0.012133333,0.4156,H15_2
23.5,G,G09,09,-0.154966667,0.3214,0.179066667,-0.012133333,-0.0216,H15_2
23.5,G,G10,10,-0.201666667,-0.2346,0.569866667,0.038466667,0.3688,H14_1
23.5,G,G11,11,0.042233333,-0.3194,-0.190433333,-0.012133333,-0.0943,H14_1
23.5,G,G12,12,-0.164566667,0.1972,-0.132233333,0.104266667,0.0133,H14_1
23.5,H,H01,01,-0.201666667,-0.2286,-0.190433333,0.783166667,-0.2271,H14_2
23.5,H,H02,02,0.151333333,0.4925,-0.116733333,-0.012133333,-0.0847,H14_2
23.5,H,H03,03,-0.038266667,-0.1316,0.217466667,-0.012133333,0.4158,H14_2
23.5,H,H04,04,-0.150466667,-0.223,0.247766667,0.052966667,0.482,C19_1
23.5,H,H05,05,-0.201666667,-0.2365,-0.126333333,-0.012133333,-0.2271,C19_1
23.5,H,H06,06,0.008733333,-0.3194,-0.190433333,-0.012133333,-0.2271,C19_1
23.5,H,H07,07,-0.152466667,-0.228,-0.122033333,-0.012133333,0.515,C19_2
23.5,H,H08,08,-0.102066667,-0.2287,0.385166667,0.664866667,-0.0965,C19_2
23.5,H,H09,09,0.113533333,-0.3194,-0.190433333,-0.012133333,-0.2271,C19_2
23.5,H,H10,10,0.167833333,0.2484,-0.190433333,0.024266667,-0.2271,Blank
23.5,H,H11,11,0.033833333,0.071,0.134566667,-0.012133333,0.0476,Blank
23.5,H,H12,12,-0.201666667,-0.3194,0.055866667,-0.012133333,0.1795,Blank
