"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","03",0.0668,0.0622,0.0682,0.0343,0.0283,0.0324,"A03",0.424242424242424,0.495561181818182,7.34569172682079,8.07586166587775,9.04138739946587,2022-07-29,"Tank2",14.1,7.4882321576053
"A","04",0.0695,0.0656,0.0712,0.0355,0.03,0.0335,"A04",0.432432432432433,0.503728000000001,7.35308026913305,8.07586166587775,8.94989818607981,2022-07-29,"Tank3",14.5,7.49093298025797
"A","05",0.0683,0.0642,0.0709,0.0342,0.0292,0.0324,"A05",0.204545454545452,0.276486284090907,7.08269796108241,8.07586166587775,12.2979286407501,2022-07-29,"Tank4",17.9,7.16301659143695
"A","06",0.0703,0.0668,0.0734,0.0338,0.0278,0.0309,"A06",0.416666666666666,0.488006874999999,7.33875000635634,8.07586166587775,9.12734380574976,2022-07-29,"Tank5",20.2,7.40294005726561
"A","07",0.0681,0.0643,0.071,0.0353,0.0301,0.0344,"A07",0.368421052631579,0.439897868421052,7.29189221699501,8.07586166587775,9.70756411288198,2022-07-29,"Tank6",21.1,7.3434523386633
"A","08",0.0667,0.0624,0.0687,0.0346,0.0293,0.0328,"A08",0.263157894736842,0.334932763157895,7.16905019582733,8.07586166587775,11.2286652194885,2022-07-29,"Tank7",23.6,7.18935321045858
"A","09",0.0671,0.0637,0.0704,0.0339,0.0287,0.0315,"A09",0.31578947368421,0.387415315789473,7.23461404944247,8.07586166587775,10.416815582537,2022-07-29,"Tank8",24.5,7.24566431694852
"A","10",0.0671,0.0632,0.0698,0.0356,0.0303,0.0331,"A10",0.269230769230769,0.340988442307692,7.1771187634897,8.07586166587775,11.1287555380676,2022-07-29,"Tank9",11.8,7.33502494341239
"A","11",0.0656,0.0607,0.0678,0.034,0.0283,0.0313,"A11",0.163265306122448,0.235323020408162,7.01004771560577,8.07586166587775,13.1975260890769,2022-07-29,"Tank10",13.4,7.13768009377898
"A","12",0.0672,0.0631,0.0695,0.0334,0.0276,0.0315,"A12",0.404761904761906,0.476135821428572,7.32762513659301,8.07586166587775,9.26509839124915,2022-07-29,"Tank11",16,7.44416812291095
