Well Location,Group Name,Group Type,Sample Name,Descriptor1 Name,Descriptor1 Value,Descriptor1 Units,Descriptor2 Name,Descriptor2 Value,Descriptor2 Units
A01,,,,,,,,,
A02,Unknowns,Unknowns,Sump,,,,,,
A03,Unknowns,Unknowns,Tank1,,,,,,
A04,Unknowns,Unknowns,Tank2,,,,,,
A05,Unknowns,Unknowns,Tank3,,,,,,
A06,Unknowns,Unknowns,Tank4,,,,,,
A07,Unknowns,Unknowns,Tank7,,,,,,
A08,Unknowns,Unknowns,Tank8,,,,,,
A09,Unknowns,Unknowns,Tank9,,,,,,
A10,Unknowns,Unknowns,Tank10,,,,,,
A11,Unknowns,Unknowns,Tank11,,,,,,
A12,Unknowns,Unknowns,Tank12,,,,,,
B01,,,,,,,,,
B02,Unknowns,Unknowns,Sump,,,,,,
B03,Unknowns,Unknowns,Tank1,,,,,,
B04,Unknowns,Unknowns,Tank2,,,,,,
B05,Unknowns,Unknowns,Tank3,,,,,,
B06,Unknowns,Unknowns,Tank4,,,,,,
B07,Unknowns,Unknowns,Tank7,,,,,,
B08,Unknowns,Unknowns,Tank8,,,,,,
B09,Unknowns,Unknowns,Tank9,,,,,,
B10,Unknowns,Unknowns,Tank10,,,,,,
B11,Unknowns,Unknowns,Tank11,,,,,,
B12,Unknowns,Unknowns,Tank12,,,,,,
C01,,,,,,,,,
C02,Unknowns,Unknowns,Sump,,,,,,
C03,Unknowns,Unknowns,Tank1,,,,,,
C04,Unknowns,Unknowns,Tank2,,,,,,
C05,Unknowns,Unknowns,Tank3,,,,,,
C06,Unknowns,Unknowns,Tank4,,,,,,
C07,Unknowns,Unknowns,Tank7,,,,,,
C08,Unknowns,Unknowns,Tank8,,,,,,
C09,Unknowns,Unknowns,Tank9,,,,,,
C10,Unknowns,Unknowns,Tank10,,,,,,
C11,Unknowns,Unknowns,Tank11,,,,,,
C12,Unknowns,Unknowns,Tank12,,,,,,
D01,Unknowns,Unknowns,Tank13,,,,,,
D02,Unknowns,Unknowns,Tank14,,,,,,
D03,Unknowns,Unknowns,Tank15,,,,,,
D04,Unknowns,Unknowns,Tank16,,,,,,
D05,,,,,,,,,
D06,,,,,,,,,
D07,,,,,,,,,
D08,,,,,,,,,
D09,,,,,,,,,
D10,,,,,,,,,
D11,,,,,,,,,
D12,,,,,,,,,
E01,Unknowns,Unknowns,Tank13,,,,,,
E02,Unknowns,Unknowns,Tank14,,,,,,
E03,Unknowns,Unknowns,Tank15,,,,,,
E04,Unknowns,Unknowns,Tank16,,,,,,
E05,,,,,,,,,
E06,,,,,,,,,
E07,,,,,,,,,
E08,,,,,,,,,
E09,,,,,,,,,
E10,,,,,,,,,
E11,,,,,,,,,
E12,,,,,,,,,
F01,Unknowns,Unknowns,Tank13,,,,,,
F02,Unknowns,Unknowns,Tank14,,,,,,
F03,Unknowns,Unknowns,Tank15,,,,,,
F04,Unknowns,Unknowns,Tank16,,,,,,
F05,,,,,,,,,
F06,,,,,,,,,
F07,,,,,,,,,
F08,,,,,,,,,
F09,,,,,,,,,
F10,,,,,,,,,
F11,,,,,,,,,
F12,,,,,,,,,
G01,,,,,,,,,
G02,,,,,,,,,
G03,,,,,,,,,
G04,,,,,,,,,
G05,,,,,,,,,
G06,,,,,,,,,
G07,,,,,,,,,
G08,,,,,,,,,
G09,,,,,,,,,
G10,,,,,,,,,
G11,,,,,,,,,
G12,,,,,,,,,
H01,,,,,,,,,
H02,,,,,,,,,
H03,,,,,,,,,
H04,,,,,,,,,
H05,,,,,,,,,
H06,,,,,,,,,
H07,,,,,,,,,
H08,,,,,,,,,
H09,,,,,,,,,
H10,,,,,,,,,
H11,,,,,,,,,
H12,,,,,,,,,
