date,TempInSitu,mV,pH
2020-03-03T10:43:00Z,22.57,-87.88,8.04
2020-03-03T10:43:00Z,22.6,-87.38,8.03
2020-03-03T10:43:00Z,22.6,-86.92,8.02
2020-03-03T10:43:00Z,22.6,-86.6,8.02
2020-03-03T10:43:00Z,22.6,-86.28,8.01
2020-03-03T10:43:00Z,22.6,-86.03,8.01
2020-03-03T10:43:00Z,22.6,-85.72,8
2020-03-03T10:43:00Z,22.6,-85.57,8
2020-03-03T10:43:00Z,22.6,-85.36,8
2020-03-03T10:43:00Z,22.6,-85.19,7.99
2020-03-03T10:43:00Z,22.6,-85.03,7.99
2020-03-03T10:43:00Z,22.6,-84.91,7.99
2020-03-03T10:44:00Z,22.6,-84.67,7.98
2020-03-03T10:44:00Z,22.6,-84.53,7.98
2020-03-03T10:44:00Z,22.6,-84.52,7.98
2020-03-03T10:44:00Z,22.6,-84.47,7.98
2020-03-03T10:44:00Z,22.6,-84.3,7.98
2020-03-03T10:44:00Z,22.6,-84.25,7.98
2020-03-03T10:44:00Z,22.6,-84.22,7.98
2020-03-03T10:44:00Z,22.6,-84.19,7.97
2020-03-03T10:44:00Z,22.6,-84.13,7.97
2020-03-03T10:44:00Z,22.6,-84.11,7.97
2020-03-03T10:44:00Z,22.6,-84.08,7.97
2020-03-03T10:44:00Z,22.6,-84.05,7.97
2020-03-03T10:45:00Z,22.6,-84.03,7.97
2020-03-03T10:45:00Z,22.6,-84.05,7.97
2020-03-03T10:45:00Z,22.6,-83.99,7.97
2020-03-03T10:45:00Z,22.6,-83.97,7.97
2020-03-03T10:45:00Z,22.6,-83.92,7.97
2020-03-03T10:45:00Z,22.6,-83.96,7.97
2020-03-03T10:45:00Z,22.6,-83.92,7.97
2020-03-03T10:45:00Z,22.62,-83.91,7.97
2020-03-03T10:45:00Z,22.62,-83.88,7.97
2020-03-03T10:45:00Z,22.62,-83.85,7.97
2020-03-03T10:45:00Z,22.62,-83.8,7.97
2020-03-03T10:45:00Z,22.64,-83.72,7.97
2020-03-03T10:46:00Z,22.64,-80.3,7.91
2020-03-03T10:46:00Z,22.64,-83.6,7.96
2020-03-03T10:46:00Z,22.64,-83.75,7.97
2020-03-03T10:46:00Z,22.67,-84.25,7.98
2020-03-03T10:46:00Z,22.67,-83.75,7.97
2020-03-03T10:46:00Z,22.67,-83.74,7.97
2020-03-03T10:46:00Z,22.69,-83.63,7.96
2020-03-03T10:46:00Z,22.69,-83.69,7.97
2020-03-03T10:46:00Z,22.69,-83.71,7.97
2020-03-03T10:46:00Z,22.72,-83.67,7.97
2020-03-03T10:46:00Z,22.72,-83.67,7.97
2020-03-03T10:46:00Z,22.72,-83.66,7.97
2020-03-03T10:47:00Z,22.74,-83.64,7.96
2020-03-03T10:47:00Z,22.74,-83.64,7.96
2020-03-03T10:47:00Z,22.74,-83.63,7.96
2020-03-03T10:47:00Z,22.76,-83.63,7.96
2020-03-03T10:47:00Z,22.76,-83.63,7.96
2020-03-03T10:47:00Z,22.76,-83.63,7.96
2020-03-03T10:47:00Z,22.79,-83.61,7.96
2020-03-03T10:47:00Z,22.79,-83.61,7.96
2020-03-03T10:47:00Z,22.79,-83.55,7.96
2020-03-03T10:47:00Z,22.81,-83.57,7.96
2020-03-03T10:47:00Z,22.81,-83.57,7.96
2020-03-03T10:47:00Z,22.81,-83.57,7.96
2020-03-03T10:48:00Z,22.81,-83.57,7.96
2020-03-03T10:48:00Z,22.84,-83.57,7.96
2020-03-03T10:48:00Z,22.84,-83.55,7.96
2020-03-03T10:48:00Z,22.84,-83.55,7.96
2020-03-03T10:48:00Z,22.84,-83.53,7.96
2020-03-03T10:48:00Z,22.84,-83.53,7.96
2020-03-03T10:48:00Z,22.86,-83.53,7.96
2020-03-03T10:48:00Z,22.86,-83.55,7.96
2020-03-03T10:48:00Z,22.86,-83.55,7.96
2020-03-03T10:48:00Z,22.86,-83.55,7.96
2020-03-03T10:48:00Z,22.86,-83.55,7.96
2020-03-03T10:48:00Z,22.88,-83.55,7.96
2020-03-03T10:49:00Z,22.88,-83.53,7.96
2020-03-03T10:49:00Z,22.88,-83.53,7.96
2020-03-03T10:49:00Z,22.88,-83.55,7.96
2020-03-03T10:49:00Z,22.88,-83.53,7.96
2020-03-03T10:49:00Z,22.91,-83.53,7.96
2020-03-03T10:49:00Z,22.91,-83.53,7.96
2020-03-03T10:49:00Z,22.91,-83.55,7.96
2020-03-03T10:49:00Z,22.91,-83.55,7.96
2020-03-03T10:49:00Z,22.91,-83.55,7.96
2020-03-03T10:49:00Z,22.91,-83.53,7.96
2020-03-03T10:49:00Z,22.91,-83.53,7.96
2020-03-03T10:49:00Z,22.93,-83.53,7.96
2020-03-03T10:50:00Z,22.93,-83.53,7.96
2020-03-03T10:50:00Z,22.93,-83.55,7.96
2020-03-03T10:50:00Z,22.93,-83.53,7.96
2020-03-03T10:50:00Z,22.93,-83.55,7.96
2020-03-03T10:50:00Z,22.93,-83.55,7.96
2020-03-03T10:50:00Z,22.93,-83.55,7.96
2020-03-03T10:50:00Z,22.96,-83.55,7.96
2020-03-03T10:50:00Z,22.96,-83.55,7.96
2020-03-03T10:50:00Z,22.96,-83.53,7.96
2020-03-03T10:50:00Z,22.96,-83.55,7.96
2020-03-03T10:50:00Z,22.96,-83.55,7.96
2020-03-03T10:50:00Z,22.96,-83.55,7.96
2020-03-03T10:51:00Z,22.96,-83.55,7.96
2020-03-03T10:51:00Z,22.98,-83.55,7.96
2020-03-03T10:51:00Z,22.98,-83.55,7.96
2020-03-03T10:51:00Z,22.98,-83.55,7.96
2020-03-03T10:51:00Z,22.98,-83.55,7.96
2020-03-03T10:51:00Z,22.98,-83.55,7.96
2020-03-03T10:51:00Z,22.98,-83.55,7.96
2020-03-03T10:51:00Z,22.98,-83.55,7.96
2020-03-03T10:51:00Z,22.98,-83.55,7.96
2020-03-03T10:51:00Z,23,-83.57,7.96
2020-03-03T10:51:00Z,23,-83.55,7.96
2020-03-03T10:51:00Z,23,-83.55,7.96
2020-03-03T10:52:00Z,23,-83.55,7.96
2020-03-03T10:52:00Z,23,-83.53,7.96
2020-03-03T10:52:00Z,23,-83.55,7.96
2020-03-03T10:52:00Z,23,-83.57,7.96
2020-03-03T10:52:00Z,23.03,-83.57,7.96
2020-03-03T10:52:00Z,23.03,-83.57,7.96
2020-03-03T10:52:00Z,23.03,-83.58,7.96
2020-03-03T10:52:00Z,23.03,-83.58,7.96
2020-03-03T10:52:00Z,23.03,-83.58,7.96
2020-03-03T10:52:00Z,23.03,-83.58,7.96
2020-03-03T10:52:00Z,23.03,-83.57,7.96
