"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","01",0.0354,0.036,0.0376,0.0351,0.5894,0.2644,"A01",2.43813298106561,2.51700856384852,8.43167028936184,8.89425553491945,5.20094395468477,2020-02-25,"Tris25",24.6,8.0611501473998
"A","02",0.0347,0.0319,0.0355,0.0348,0.7604,0.326,"A02",2.50826446280992,2.58693108884297,8.44534979646163,8.89425553491945,5.04714235716966,2020-02-25,"Tris26",25.6,8.05933010687842
"A","03",0.0335,0.0308,0.0353,0.0344,0.596,0.2578,"A03",2.54648014440433,2.62503290681408,8.45267179549851,8.89425553491945,4.96481957019624,2020-02-25,"Tris27",26.6,8.05136142061353
"A","04",0.0344,0.0316,0.0343,0.0346,0.568,0.2458,"A04",2.53762423095125,2.61620337955513,8.4509831145268,8.89425553491945,4.98380576825491,2020-02-25,"Tris28",27.4,8.03770821223636
"B","01",0.0368,0.0341,0.0362,0.0357,0.649,0.2782,"B01",2.53393665158371,2.61252678733032,8.45027852387022,8.89425553491945,4.99172763033564,2020-02-25,"Tris25",24.6,8.07921355385109
"B","02",0.0351,0.0317,0.035,0.0352,0.324,0.1507,"B02",2.52768166089965,2.606290433391,8.44908144473283,8.89425553491945,5.00518664478254,2020-02-25,"Tris26",25.6,8.06294691213777
"B","03",0.036,0.0334,0.0375,0.0359,0.4627,0.2049,"B03",2.56358208955224,2.64208389671642,8.45591926034477,8.89425553491945,4.92830763467214,2020-02-25,"Tris27",26.6,8.0545040978339
"B","04",0.0418,0.0417,0.0483,0.0418,0.5014,0.2294,"B04",2.53837658752071,2.61695349447819,8.45112676492435,8.89425553491945,4.98219067639049,2020-02-25,"Tris28",27.4,8.03784700462542
"C","01",0.0368,0.0332,0.0363,0.0355,0.4946,0.2173,"C01",2.53812397147559,2.61670163110258,8.45107853585189,8.89425553491945,4.98273292607364,2020-02-25,"Tris25",24.6,8.07999041222209
"C","02",0.0349,0.0317,0.0345,0.035,0.4411,0.1962,"C02",2.53279702970297,2.61139056095297,8.45006060433721,8.89425553491945,4.99417774583043,2020-02-25,"Tris26",25.6,8.06389602092072
"C","03",0.0348,0.0319,0.0352,0.0359,0.4203,0.1859,"C03",2.58890374331551,2.6673301046123,8.46069507336315,8.89425553491945,4.87461215673543,2020-02-25,"Tris27",26.6,8.05912649736302
"C","04",0.036,0.0327,0.0364,0.036,0.522,0.2299,"C04",2.52868217054264,2.6072879620155,8.44927308562666,8.89425553491945,5.00303198559748,2020-02-25,"Tris28",27.4,8.03605607664121
