Well Location,Group Name,Group Type,Sample Name,Descriptor1 Name,Descriptor1 Value,Descriptor1 Units,Descriptor2 Name,Descriptor2 Value,Descriptor2 Units
A01,Unk_Dilution,Unknowns,T25,Dilution Factor,,,,,
A02,Unk_Dilution,Unknowns,T26,Dilution Factor,,,,,
A03,Unk_Dilution,Unknowns,T27,Dilution Factor,,,,,
A04,Unk_Dilution,Unknowns,T28,Dilution Factor,,,,,
A05,Unk_Dilution,Unknowns,T29,Dilution Factor,,,,,
A06,Unk_Dilution,Unknowns,T30,Dilution Factor,,,,,
A07,,,,,,,,,
A08,,,,,,,,,
A09,,,,,,,,,
A10,,,,,,,,,
A11,,,,,,,,,
A12,,,,,,,,,
B01,Unk_Dilution,Unknowns,T25,Dilution Factor,,,,,
B02,Unk_Dilution,Unknowns,T26,Dilution Factor,,,,,
B03,Unk_Dilution,Unknowns,T27,Dilution Factor,,,,,
B04,Unk_Dilution,Unknowns,T28,Dilution Factor,,,,,
B05,Unk_Dilution,Unknowns,T29,Dilution Factor,,,,,
B06,Unk_Dilution,Unknowns,T30,Dilution Factor,,,,,
B07,,,,,,,,,
B08,,,,,,,,,
B09,,,,,,,,,
B10,,,,,,,,,
B11,,,,,,,,,
B12,,,,,,,,,
C01,Unk_Dilution,Unknowns,T25,Dilution Factor,,,,,
C02,Unk_Dilution,Unknowns,T26,Dilution Factor,,,,,
C03,Unk_Dilution,Unknowns,T27,Dilution Factor,,,,,
C04,Unk_Dilution,Unknowns,T28,Dilution Factor,,,,,
C05,Unk_Dilution,Unknowns,T29,Dilution Factor,,,,,
C06,Unk_Dilution,Unknowns,T30,Dilution Factor,,,,,
C07,,,,,,,,,
C08,,,,,,,,,
C09,,,,,,,,,
C10,,,,,,,,,
C11,,,,,,,,,
C12,,,,,,,,,
D01,,,,,,,,,
D02,,,,,,,,,
D03,,,,,,,,,
D04,,,,,,,,,
D05,,,,,,,,,
D06,,,,,,,,,
D07,,,,,,,,,
D08,,,,,,,,,
D09,,,,,,,,,
D10,,,,,,,,,
D11,,,,,,,,,
D12,,,,,,,,,
E01,,,,,,,,,
E02,,,,,,,,,
E03,,,,,,,,,
E04,,,,,,,,,
E05,,,,,,,,,
E06,,,,,,,,,
E07,,,,,,,,,
E08,,,,,,,,,
E09,,,,,,,,,
E10,,,,,,,,,
E11,,,,,,,,,
E12,,,,,,,,,
F01,,,,,,,,,
F02,,,,,,,,,
F03,,,,,,,,,
F04,,,,,,,,,
F05,,,,,,,,,
F06,,,,,,,,,
F07,,,,,,,,,
F08,,,,,,,,,
F09,,,,,,,,,
F10,,,,,,,,,
F11,,,,,,,,,
F12,,,,,,,,,
G01,,,,,,,,,
G02,,,,,,,,,
G03,,,,,,,,,
G04,,,,,,,,,
G05,,,,,,,,,
G06,,,,,,,,,
G07,,,,,,,,,
G08,,,,,,,,,
G09,,,,,,,,,
G10,,,,,,,,,
G11,,,,,,,,,
G12,,,,,,,,,
H01,,,,,,,,,
H02,,,,,,,,,
H03,,,,,,,,,
H04,,,,,,,,,
H05,,,,,,,,,
H06,,,,,,,,,
H07,,,,,,,,,
H08,,,,,,,,,
H09,,,,,,,,,
H10,,,,,,,,,
H11,,,,,,,,,
H12,,,,,,,,,
