##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Tris1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,1,7,96,1,3,,,,,,,,,,,,,,,,,,,
,Temperature(ÁC),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,24.5,0.0352,0.0304,0.0306,0.8105,0.118,0,0.7498,,,,,,,0.0331,0.0309,0.0311,0,0.8125,0,0.4032,,,,,,,0.0341,1.0586,0.6109,0,0,0.0331,0,,,,,
,,0.0336,0.6451,0,0,0.0309,0.0315,0.0304,,,,,,,0,0.0311,0,0.6999,0,0.7912,0,,,,,,,0.6475,0.0325,0,0.4637,0,0.0344,0.0334,,,,,
,,0,0,0.0302,0,0,0,0.0306,,,,,,,0.688,0.031,0.0314,0.7716,0.5473,0.0311,0.0315,,,,,,,0.9427,0,0,0.0336,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Tris2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,1,7,96,1,3,,,,,,,,,,,,,,,,,,,
,Temperature(ÁC),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,24.5,0.8772,0,0.0302,0.0337,0.0305,0.0306,1.1681,,,,,,,0.5836,0.0311,0,0.034,0,0.0306,0,,,,,,,0.2529,0,0.8199,0,0.033,1.1048,0.6348,,,,,
,,0,0.03,0.0359,0.0304,0.0309,0,0.0311,,,,,,,0,0,0.0379,0.0313,0.0326,0,0,,,,,,,0.8926,0.0325,0.9362,0,0,0,0.0337,,,,,
,,0.8826,0,0.0312,0.0303,0.0302,0,0.3487,,,,,,,1.2383,1.8026,0.0532,0,0.031,0,0.0315,,,,,,,0.2502,0.9885,0.0343,0,0,0.0344,0.648,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: T24.5; Date Last Saved: 10/29/2020 10:27:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Tris1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Tris2"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
