"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.0351,0,0,0,0.3418,0.0128,"A02",7.86847599164927,7.91933944050104,8.80520091197095,8.08709761431073,8.87961703824971,2020-10-30,"T25",25.141,8.80520091197095
"A","03",0.8367,0.0314,0,0.0304,0,0.798,"A03",0.483014398803216,0.554904256809824,7.4014648552571,8.08709761431073,8.47810663049684,2020-10-30,"T26",25.993,7.39101018279299
"A","04",0.0335,0.9516,0.6664,0,0,0.0343,"A04",1.53374540594721,1.60264383277648,7.89252599764125,8.08709761431073,2.40595113289056,2020-10-30,"T27",27.062,7.86433089287907
"A","06",1.0198,0.8456,0.0329,0.03,0,0,"A06",0.150694952450622,0.223530923920995,6.99148808180595,8.08709761431073,13.5476234460929,2020-10-30,"T29",29.01,6.95509693708574
"B","03",0.6478,0.0378,0,0.0363,0.4311,0.8982,"B03",0.665562694575081,0.736932837583626,7.53044341429805,8.08709761431073,6.88323829587067,2020-10-30,"T26",25.993,7.51923559761952
"B","04",0.4336,0.621,0.0335,0.4966,0.031,0,"B04",6.76683937823834,6.8208391865285,8.6937631899558,8.08709761431073,7.50164774283826,2020-10-30,"T27",27.062,8.6623441823369
"C","02",0,0.0326,0.011,0.0356,0.5275,0.3445,"C02",1.54179254783484,1.61066806445116,7.8949202354203,8.08709761431073,2.37634548333328,2020-10-30,"T25",25.141,7.8949202354203
"C","04",0.1381,0,0.5839,0.7826,0.4804,0,"C04",0.133588407684793,0.206473081488115,6.95564648166139,8.08709761431073,13.9908182961357,2020-10-30,"T27",27.062,6.9376370497854
"C","05",0.1746,0.0309,0.0331,0.03,0.0314,0.6515,"C05",0.190170380078637,0.262893965006553,7.06461642661216,8.08709761431073,12.6433639911705,2020-10-30,"T28",28.035,7.03615279919996
"C","06",0.0536,0,0.0338,0.0307,0.0316,0.2087,"C06",0.275530839231547,0.348011402932255,7.19091602539966,8.08709761431073,11.0816220064564,2020-10-30,"T29",29.01,7.15002618525615
