Well Location,Group Name,Group Type,Sample Name,Descriptor1 Name,Descriptor1 Value,Descriptor1 Units,Descriptor2 Name,Descriptor2 Value,Descriptor2 Units
A01,Tris,Unknowns,TrisP,,,,,,
A02,Tris,Unknowns,TrisG,,,,,,
A03,Tris,Unknowns,Tank20,,,,,,
A04,Tris,Unknowns,Tank1,,,,,,
A05,Tris,Unknowns,Tank7,,,,,,
A06,Tris,Unknowns,Tank5,,,,,,
A07,Tris,Unknowns,Sump,,,,,,
A08,,,,,,,,,
A09,,,,,,,,,
A10,,,,,,,,,
A11,,,,,,,,,
A12,,,,,,,,,
B01,Tris,Unknowns,TrisP,,,,,,
B02,Tris,Unknowns,TrisG,,,,,,
B03,Tris,Unknowns,Tank20,,,,,,
B04,Tris,Unknowns,Tank1,,,,,,
B05,Tris,Unknowns,Tank7,,,,,,
B06,Tris,Unknowns,Tank5,,,,,,
B07,Tris,Unknowns,Sump,,,,,,
B08,,,,,,,,,
B09,,,,,,,,,
B10,,,,,,,,,
B11,,,,,,,,,
B12,,,,,,,,,
C01,Tris,Unknowns,TrisP,,,,,,
C02,Tris,Unknowns,TrisG,,,,,,
C03,Tris,Unknowns,Tank20,,,,,,
C04,Tris,Unknowns,Tank1,,,,,,
C05,Tris,Unknowns,Tank7,,,,,,
C06,Tris,Unknowns,Tank5,,,,,,
C07,Tris,Unknowns,Sump,,,,,,
C08,,,,,,,,,
C09,,,,,,,,,
C10,,,,,,,,,
C11,,,,,,,,,
C12,,,,,,,,,
D01,,,,,,,,,
D02,,,,,,,,,
D03,,,,,,,,,
D04,,,,,,,,,
D05,,,,,,,,,
D06,,,,,,,,,
D07,,,,,,,,,
D08,,,,,,,,,
D09,,,,,,,,,
D10,,,,,,,,,
D11,,,,,,,,,
D12,,,,,,,,,
E01,,,,,,,,,
E02,,,,,,,,,
E03,,,,,,,,,
E04,,,,,,,,,
E05,,,,,,,,,
E06,,,,,,,,,
E07,,,,,,,,,
E08,,,,,,,,,
E09,,,,,,,,,
E10,,,,,,,,,
E11,,,,,,,,,
E12,,,,,,,,,
F01,,,,,,,,,
F02,,,,,,,,,
F03,,,,,,,,,
F04,,,,,,,,,
F05,,,,,,,,,
F06,,,,,,,,,
F07,,,,,,,,,
F08,,,,,,,,,
F09,,,,,,,,,
F10,,,,,,,,,
F11,,,,,,,,,
F12,,,,,,,,,
G01,,,,,,,,,
G02,,,,,,,,,
G03,,,,,,,,,
G04,,,,,,,,,
G05,,,,,,,,,
G06,,,,,,,,,
G07,,,,,,,,,
G08,,,,,,,,,
G09,,,,,,,,,
G10,,,,,,,,,
G11,,,,,,,,,
G12,,,,,,,,,
H01,,,,,,,,,
H02,,,,,,,,,
H03,,,,,,,,,
H04,,,,,,,,,
H05,,,,,,,,,
H06,,,,,,,,,
H07,,,,,,,,,
H08,,,,,,,,,
H09,,,,,,,,,
H10,,,,,,,,,
H11,,,,,,,,,
H12,,,,,,,,,
