"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu"
"A","02",0.0357,0.0329,0.035,0.0345,0.403,0.3313,"A02",1.24806722689076,1.40117573008403,7.83031376910739,8.09149162219381,3.22780848428551,2020-01-20,"Sump",14.809
"A","03",0.0347,0.0312,0.034,0.036,0.3922,0.3636,"A03",1.09564422784039,1.24922615686872,7.77620201786673,8.09149162219381,3.89655726099115,2020-01-20,"Tank1",16.985
"A","04",0.0369,0.0339,0.0363,0.0348,0.3294,0.3547,"A04",0.928549141965679,1.08265006833073,7.70935172887995,8.09149162219381,4.72273730427786,2020-01-20,"Tank2",16.949
"A","05",0.037,0.0336,0.0363,0.0355,0.3274,0.3606,"A05",0.906384284837324,1.06055405524862,7.69976940019788,8.09149162219381,4.84116205374915,2020-01-20,"Tank3",16.995
"A","06",0.0356,0.0329,0.035,0.0358,0.3181,0.3555,"A06",0.889790821105214,1.04401213081486,7.69247189020927,8.09149162219381,4.93134950409011,2020-01-20,"Tank4",17.005
"A","07",0.0357,0.0332,0.0363,0.0361,0.3708,0.3776,"A07",0.989146377236726,1.14305908858903,7.73464102719145,8.09149162219381,4.41019544559097,2020-01-20,"Tank7",16.978
"A","08",0.0354,0.0337,0.038,0.0352,0.3517,0.3762,"A08",0.940307328605201,1.09437173404255,7.71436064601261,8.09149162219381,4.66083379666108,2020-01-20,"Tank8",17.054
"A","09",0.0372,0.035,0.0388,0.0364,0.3378,0.3559,"A09",0.955017301038062,1.10903601730104,7.72055654310466,8.09149162219381,4.58426080639733,2020-01-20,"Tank9",17.084
"A","10",0.0356,0.0336,0.0385,0.0357,0.3494,0.359,"A10",0.985330836454432,1.1392553988764,7.73308606066218,8.09149162219381,4.42941274941919,2020-01-20,"Tank10",17.073
"A","11",0.0362,0.0328,0.0363,0.0353,0.429,0.3224,"A11",1.38362369337979,1.53631115818815,7.87408508066846,8.09149162219381,2.68685369368777,2020-01-20,"Tank11",17.01
"A","12",0.0351,0.0323,0.0357,0.0344,0.4623,0.3602,"A12",1.32441574415744,1.47728710885609,7.85541751086751,8.09149162219381,2.91755985606889,2020-01-20,"Tank12",17.082
"B","02",0.0849,0.0858,0.0925,0.0934,0.4976,0.3262,"B02",1.79085257548845,1.94227518738899,7.98734154139378,8.09149162219381,1.28715551672042,2020-01-20,"Sump",14.809
"B","03",0.0356,0.032,0.0346,0.035,0.3791,0.3434,"B03",1.12378797672915,1.27728249127343,7.78663557331399,8.09149162219381,3.76761248869922,2020-01-20,"Tank1",16.985
"B","04",0.0379,0.0342,0.037,0.0364,0.3425,0.3647,"B04",0.941069258809234,1.09513129769137,7.71468348252796,8.09149162219381,4.65684396968688,2020-01-20,"Tank2",16.949
"B","05",0.0427,0.0418,0.0495,0.0375,0.3634,0.3715,"B05",0.998777506112469,1.15266030317848,7.73854462011854,8.09149162219381,4.36195226486039,2020-01-20,"Tank3",16.995
"B","06",0.0419,0.0388,0.042,0.0409,0.3442,0.3873,"B06",0.88478198094138,1.03901884810858,7.690247675668,8.09149162219381,4.95883781706282,2020-01-20,"Tank4",17.005
"B","07",0.0354,0.032,0.0354,0.0353,0.3548,0.3672,"B07",0.97288339861404,1.12684662277795,7.72797928247031,8.09149162219381,4.49252568866834,2020-01-20,"Tank7",16.978
"B","08",0.0354,0.0332,0.0376,0.036,0.2838,0.3721,"B08",0.748727163821504,0.903386617250674,7.62560445930336,8.09149162219381,5.75774139854012,2020-01-20,"Tank8",17.054
"B","09",0.0366,0.034,0.0385,0.0369,0.3352,0.3716,"B09",0.904146634615385,1.05832335516827,7.69879160115013,8.09149162219381,4.8532463404715,2020-01-20,"Tank9",17.084
"B","10",0.0378,0.0344,0.04,0.0386,0.3476,0.3652,"B10",0.963008631319359,1.11700252651048,7.72389037340585,8.09149162219381,4.54305912867394,2020-01-20,"Tank10",17.073
"B","11",0.0358,0.034,0.0368,0.0356,0.4541,0.3161,"B11",1.50375670840787,1.65607104007156,7.91004316334198,8.09149162219381,2.24245994835055,2020-01-20,"Tank11",17.01
"B","12",0.0394,0.0378,0.0424,0.0359,0.463,0.3413,"B12",1.41765873015873,1.57024048214286,7.88452287427685,8.09149162219381,2.55785654340017,2020-01-20,"Tank12",17.082
"C","02",0.0358,0.0325,0.0345,0.0345,0.4476,0.3546,"C02",1.29558182949596,1.44854275233354,7.84607896259541,8.09149162219381,3.03297180615339,2020-01-20,"Sump",14.809
"C","03",0.0436,0.0409,0.0468,0.0405,0.3999,0.3432,"C03",1.20901502504174,1.36224482437396,7.81698583162087,8.09149162219381,3.39252394231014,2020-01-20,"Tank1",16.985
"C","04",0.0391,0.0371,0.0417,0.0379,0.336,0.3415,"C04",0.997009966777409,1.1508982538206,7.73783050294988,8.09149162219381,4.37077779669068,2020-01-20,"Tank2",16.949
"C","05",0.0352,0.032,0.0348,0.0358,0.3811,0.374,"C05",1.02923803898405,1.18302622563497,7.75069358007897,8.09149162219381,4.21180739012422,2020-01-20,"Tank3",16.995
"C","06",0.0363,0.0337,0.0362,0.0354,0.3554,0.3723,"C06",0.95727002967359,1.11128174896142,7.72149860587383,8.09149162219381,4.57261817221862,2020-01-20,"Tank4",17.005
"C","07",0.0354,0.0319,0.0352,0.0353,0.367,0.3874,"C07",0.951461822310531,1.10549158189043,7.71906603920198,8.09149162219381,4.60268143849186,2020-01-20,"Tank7",16.978
"C","08",0.0376,0.0335,0.038,0.0365,0.4372,0.3627,"C08",1.24248004910988,1.39560590607735,7.82842796586596,8.09149162219381,3.25111448680619,2020-01-20,"Tank8",17.054
"C","09",0.0379,0.0346,0.038,0.0374,0.3429,0.3963,"C09",0.860646599777034,1.01495843143813,7.67938677390796,8.09149162219381,5.09306401746131,2020-01-20,"Tank9",17.084
"C","10",0.0374,0.0341,0.0372,0.0364,0.3446,0.3397,"C10",1.02635914332784,1.18015627182867,7.74955789040416,8.09149162219381,4.22584299354367,2020-01-20,"Tank10",17.073
"C","11",0.0362,0.0335,0.035,0.0346,0.4685,0.3454,"C11",1.39935897435897,1.55199756538462,7.87893646551971,8.09149162219381,2.62689707409567,2020-01-20,"Tank11",17.01
"C","12",0.0356,0.0338,0.0356,0.0361,0.4683,0.3381,"C12",1.43708609271523,1.58960750331126,7.89038953127387,8.09149162219381,2.48535251977958,2020-01-20,"Tank12",17.082
"D","01",0.0385,0.0373,0.0352,0.0351,0.4124,0.2954,"D01",1.43588770864947,1.5884128414264,7.89002952161816,8.09149162219381,2.48980175698479,2020-01-20,"Tank13",17.015
"D","02",0.0343,0.0306,0.0333,0.0376,0.4404,0.3458,"D02",1.3146830530401,1.46758464747736,7.85228404810146,8.09149162219381,2.95628525939816,2020-01-20,"Tank14",17.015
"D","03",0.0364,0.033,0.036,0.0405,0.4818,0.3182,"D03",1.59906508450198,1.75108338834951,7.93694127252401,8.09149162219381,1.91003534188792,2020-01-20,"Tank15",16.91
"D","04",0.0514,0.0489,0.0521,0.0371,0.4453,0.3219,"D04",1.44561774023231,1.59811265153115,7.89294549623627,8.09149162219381,2.45376421589509,2020-01-20,"Tank16",17.217
"D","05",0.0425,0.0409,0.0418,0.0356,0.3901,0.3755,"D05",1.04550792718732,1.19924557956547,7.75706396083545,8.09149162219381,4.13307801544378,2020-01-20,"Tank17",17.091
"D","06",0.0371,0.0344,0.0373,0.0382,0.4179,0.3696,"D06",1.15458937198068,1.3079882173913,7.79781379777383,8.09149162219381,3.62946460470241,2020-01-20,"Tank18",16.918
"D","07",0.0362,0.0327,0.0349,0.0353,0.4045,0.3359,"D07",1.23451473998013,1.38766533719775,7.82572750312948,8.09149162219381,3.28448858966099,2020-01-20,"Tank19",16.955
"D","08",0.0375,0.0347,0.0359,0.036,0.4042,0.3279,"D08",1.26405451448041,1.41711336115843,7.83567209930118,8.09149162219381,3.16158669918108,2020-01-20,"Tank20",17.029
"E","01",0.0363,0.0329,0.0354,0.0351,0.4426,0.3601,"E01",1.26081620128874,1.41388510616754,7.83459121944257,8.09149162219381,3.17494492667587,2020-01-20,"Tank13",17.015
"E","02",0.0362,0.0326,0.0343,0.036,0.4453,0.3022,"E02",1.54009697873928,1.69229843752331,7.92045855688629,8.09149162219381,2.11373963285589,2020-01-20,"Tank14",17.015
"E","03",0.0372,0.0328,0.0365,0.0356,0.4578,0.3599,"E03",1.31261538461538,1.46552340123077,7.8516159222626,8.09149162219381,2.96454239998549,2020-01-20,"Tank15",16.91
"E","04",0.0362,0.0329,0.035,0.039,0.4808,0.366,"E04",1.35618525289458,1.50895794149909,7.86551676160367,8.09149162219381,2.79274664229186,2020-01-20,"Tank16",17.217
"E","05",0.0371,0.037,0.0391,0.0358,0.4271,0.3595,"E05",1.21666148585639,1.36986753528132,7.81962279075861,8.09149162219381,3.35993465888915,2020-01-20,"Tank17",17.091
"E","06",0.0358,0.0321,0.0345,0.0366,0.4488,0.3744,"E06",1.226481863757,1.37965741108817,7.82298971625023,8.09149162219381,3.31832396893455,2020-01-20,"Tank18",16.918
"E","07",0.0387,0.0357,0.0395,0.039,0.4123,0.3928,"E07",1.06600566572238,1.21967965212465,7.76497641877374,8.09149162219381,4.03529063200771,2020-01-20,"Tank19",16.955
"E","08",0.0373,0.0339,0.0368,0.0412,0.4334,0.3456,"E08",1.29747458183011,1.45042962577894,7.84669714569795,8.09149162219381,3.02533189090163,2020-01-20,"Tank20",17.029
"F","01",0.035,0.0312,0.0333,0.035,0.466,0.3628,"F01",1.3195751138088,1.47246151350531,7.85386141445014,8.09149162219381,2.93679112380083,2020-01-20,"Tank13",17.015
"F","02",0.037,0.033,0.0356,0.0369,0.413,0.3026,"F02",1.42306252339948,1.5756274912018,7.88616125458656,8.09149162219381,2.5376083569569,2020-01-20,"Tank14",17.015
"F","03",0.0353,0.0313,0.0341,0.0376,0.4746,0.3633,"F03",1.34903640256959,1.50183129550321,7.86326116092103,8.09149162219381,2.82062284593838,2020-01-20,"Tank15",16.91
"F","04",0.0365,0.0332,0.0364,0.0389,0.4438,0.3803,"F04",1.19531478770132,1.34858713997072,7.81222700531325,8.09149162219381,3.45133666226118,2020-01-20,"Tank16",17.217
"F","05",0.0366,0.0356,0.0373,0.0388,0.4128,0.3843,"F05",1.08758700696056,1.24119396171694,7.77317497275226,8.09149162219381,3.9339674846657,2020-01-20,"Tank17",17.091
"F","06",0.0412,0.039,0.0418,0.0373,0.4207,0.3975,"F06",1.07230255839822,1.22595698665184,7.76738235470236,8.09149162219381,4.00555648605591,2020-01-20,"Tank18",16.918
"F","07",0.038,0.0348,0.0373,0.0394,0.4354,0.3708,"F07",1.20204757603132,1.35529901626016,7.81457118258888,8.09149162219381,3.4223657705507,2020-01-20,"Tank19",16.955
"F","08",0.0363,0.0334,0.0368,0.0356,0.4308,0.3513,"F08",1.2630076142132,1.41606971256345,7.83532291347759,8.09149162219381,3.16590216831704,2020-01-20,"Tank20",17.029
