Sample.Name,pHmean,SE,,,,
Sump,7.81942734,0.004258081,,,,
Tank1,7.64589912,0.004617276,,,,
Tank10,7.639790331,0.004656132,,,,
Tank11,7.813132381,0.001688496,,,,Temp 25 Sal 34
Tank12,7.800869973,0.002669441,,,,
Tank13,7.774416553,0.00190054,,,,
Tank14,7.820117264,0.001897557,,,,
Tank15,7.780703814,0.002222259,,,,
Tank16,7.807464971,0.002415855,,,,
Tank17,7.695002081,0.003433312,,,,
Tank18,7.71002799,0.001223674,,,,
Tank19,7.685315224,0.00162881,,,,
Tank2,7.601011129,0.002555778,,,,
Tank3,7.637351337,0.005278165,,,,
Tank4,7.616238398,0.006259115,,,,
Tank7,7.604605211,0.00997247,,,,
Tank8,7.608988998,0.005393578,,,,
Tank9,7.596202817,0.008851921,,,,
