##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(ÁC),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0349,0.0386,0.0365,0.036,0.0368,0.0382,0.0385,0.0363,0.0379,0.0362,0.0365,,,0.0317,0.0359,0.0334,0.0328,0.0339,0.0351,0.0349,0.0334,0.0351,0.0334,0.0326,,,0.0357,0.0413,0.0362,0.0356,0.0365,0.0385,0.0381,0.0367,0.037,0.0348,0.0368
,,,0.0354,0.0366,0.0368,0.0359,0.0344,0.0356,0.0354,0.0372,0.0371,0.0356,0.0359,,,0.0314,0.0333,0.0335,0.0328,0.0304,0.0321,0.0318,0.0344,0.0338,0.0328,0.0329,,,0.0342,0.0363,0.0362,0.0366,0.0332,0.0343,0.0344,0.0383,0.0363,0.036,0.0357
,,,0.0362,0.0366,0.0371,0.0366,0.0382,0.0361,0.0344,0.0362,0.0365,0.0382,0.0366,,,0.0323,0.0333,0.0338,0.0334,0.0347,0.0326,0.0307,0.0329,0.0331,0.035,0.0338,,,0.0348,0.0369,0.0372,0.037,0.0381,0.0348,0.0343,0.0362,0.0381,0.0382,0.0361
,,0.0351,0.0355,0.0359,0.0369,0.0385,0.0365,0.0368,0.0371,,,,,,0.032,0.0325,0.0323,0.0338,0.0356,0.0328,0.033,0.0332,,,,,,0.0361,0.0363,0.0355,0.0374,0.0403,0.0365,0.0369,0.0364,,,,
,,0.0368,0.0367,0.0365,0.0378,0.0371,0.0376,0.0367,0.0368,,,,,,0.0331,0.0336,0.033,0.0348,0.0342,0.0347,0.0337,0.0333,,,,,,0.0364,0.0363,0.0362,0.0385,0.0383,0.0381,0.0379,0.0364,,,,
,,0.0353,0.0359,0.0357,0.0368,0.0369,0.0366,0.039,0.0377,,,,,,0.0317,0.0326,0.0322,0.0338,0.0337,0.0331,0.0359,0.0344,,,,,,0.0353,0.036,0.0353,0.037,0.0378,0.0366,0.0399,0.0383,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(ÁC),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,26,,0.0344,0.0382,0.0355,0.0351,0.0358,0.0366,0.038,0.0356,0.037,0.0393,0.0357,,,0.4744,0.3684,0.3683,0.2757,0.3098,0.4251,0.2935,0.2919,0.289,0.4305,0.377,,,0.3706,0.4164,0.3814,0.3421,0.384,0.6314,0.3502,0.3648,0.3394,0.3294,0.2898
,,,0.0364,0.0367,0.0358,0.0347,0.0351,0.036,0.0356,0.0354,0.0361,0.0362,0.0357,,,0.5183,0.4308,0.3722,0.3202,0.34,0.2982,0.303,0.28,0.2993,0.4036,0.396,,,0.4064,0.4946,0.3858,0.3818,0.4197,0.3589,0.3548,0.3371,0.3446,0.3098,0.3071
,,,0.0358,0.0365,0.0356,0.0355,0.0368,0.0354,0.0352,0.0354,0.0358,0.0392,0.0362,,,0.5195,0.3778,0.3769,0.3176,0.3324,0.2903,0.3028,0.2782,0.3169,0.3943,0.3684,,,0.3962,0.4138,0.3864,0.3812,0.3931,0.3346,0.3526,0.3238,0.3558,0.3001,0.2835
,,0.0357,0.0356,0.0357,0.0358,0.0373,0.0369,0.0377,0.0371,,,,,,0.619,0.4867,0.4588,0.451,0.3774,0.3746,0.3531,0.3282,,,,,,0.5599,0.3769,0.3577,0.3558,0.3571,0.3779,0.3409,0.3488,,,,
,,0.0359,0.0364,0.0359,0.037,0.0359,0.0372,0.0371,0.0373,,,,,,0.5481,0.4922,0.504,0.4418,0.4046,0.3764,0.3374,0.4012,,,,,,0.4482,0.3829,0.3945,0.3464,0.3877,0.3751,0.3226,0.4204,,,,
,,0.0353,0.0357,0.0355,0.0362,0.0368,0.0366,0.0375,0.0376,,,,,,0.535,0.5669,0.4572,0.451,0.3651,0.3946,0.3724,0.3787,,,,,,0.4275,0.4466,0.3519,0.3533,0.3399,0.3891,0.3525,0.3882,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: AfternoonPlate_2-13-2020; Date Last Saved: 2/13/2020 4:16:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
