##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Tris1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,1,1,96,1,3,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,0.0351,,,,,,,,,,,,,0.0313,,,,,,,,,,,,,0.0328,,,,,,,,,,,
,,0.0344,,,,,,,,,,,,,0.0295,,,,,,,,,,,,,0.0315,,,,,,,,,,,
,,0.0367,,,,,,,,,,,,,0.0335,,,,,,,,,,,,,0.0372,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Tris2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,1,1,96,1,3,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,0.035,,,,,,,,,,,,,0.5938,,,,,,,,,,,,,0.2597,,,,,,,,,,,
,,0.0348,,,,,,,,,,,,,0.8728,,,,,,,,,,,,,0.3734,,,,,,,,,,,
,,0.0363,,,,,,,,,,,,,0.9904,,,,,,,,,,,,,0.4157,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: TrisPlate_2-14-2020_New; Date Last Saved: 2/14/2020 4:34:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--Null: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--SetTemperatureWithWaitActivity.TemperatureToSet: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--SetTemperatureWithWaitActivity.WaitTemperatureToRise: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--Null: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--ReadPlateActivity.SectionNameToRead: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Shake: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--Null: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--ShakePauseActivity.ShakeTimeToSet: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--Null: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--ReadPlateActivity.SectionNameToRead: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
