##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0355,0.0372,0.0381,0.0358,0.0376,0.0376,0.0366,0.0354,0.037,0.037,0.0352,,,0.0326,0.0344,0.0348,0.0324,0.0348,0.0345,0.0325,0.0321,0.0338,0.0339,0.0318,,,0.0365,0.0388,0.0378,0.0355,0.0383,0.0374,0.0357,0.0355,0.0379,0.037,0.0346
,,,0.0356,0.0354,0.0373,0.0351,0.0418,0.0353,0.036,0.0349,0.0369,0.035,0.0372,,,0.0322,0.032,0.0342,0.0313,0.0384,0.0319,0.0329,0.0314,0.0336,0.0317,0.034,,,0.0356,0.0354,0.0378,0.034,0.0422,0.0353,0.0365,0.0348,0.037,0.0359,0.0378
,,,0.0357,0.0358,0.0367,0.0361,0.0392,0.036,0.0359,0.0356,0.0361,0.0374,0.036,,,0.0323,0.0323,0.0334,0.0325,0.0358,0.0321,0.0321,0.032,0.033,0.0343,0.033,,,0.0356,0.0349,0.0362,0.0353,0.0392,0.0353,0.035,0.0352,0.0364,0.039,0.0359
,,0.036,0.0346,0.0359,0.0372,0.036,0.0375,0.0371,0.0377,,,,,,0.0327,0.0312,0.0326,0.0327,0.033,0.0356,0.0342,0.0344,,,,,,0.0358,0.0346,0.0365,0.0357,0.0377,0.0404,0.0383,0.0383,,,,
,,0.037,0.0372,0.0366,0.0391,0.0382,0.0367,0.0376,0.0371,,,,,,0.0334,0.0342,0.0331,0.0362,0.0359,0.0333,0.0347,0.0342,,,,,,0.0366,0.0374,0.0364,0.0399,0.0404,0.0374,0.0396,0.0388,,,,
,,0.0357,0.0367,0.0352,0.0359,0.0362,0.0392,0.0394,0.0372,,,,,,0.0326,0.0333,0.0317,0.0325,0.0329,0.0362,0.0365,0.0341,,,,,,0.0356,0.0367,0.0345,0.0355,0.0369,0.0402,0.0412,0.0383,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0367,0.0373,0.0375,0.0361,0.0372,0.0387,0.0377,0.0355,0.0374,0.0384,0.036,,,0.7655,0.3468,0.3298,0.3393,0.2731,0.3544,0.2886,0.2829,0.3524,0.5428,0.4267,,,0.7333,0.4768,0.3934,0.3722,0.3749,0.5256,0.4002,0.407,0.5693,0.4634,0.3355
,,,0.036,0.0356,0.0371,0.0356,0.0423,0.0355,0.0365,0.036,0.0367,0.0358,0.038,,,0.6274,0.352,0.3277,0.3332,0.2837,0.2915,0.2677,0.2446,0.2661,0.4309,0.4875,,,0.5277,0.4505,0.3699,0.3542,0.3707,0.3939,0.3554,0.3354,0.3567,0.3377,0.3991
,,,0.0365,0.0356,0.0363,0.0356,0.0386,0.0369,0.0372,0.0358,0.0364,0.0391,0.0362,,,0.4884,0.3415,0.3592,0.3003,0.2853,0.3107,0.2754,0.2966,0.3049,0.4795,0.4123,,,0.3765,0.4294,0.4113,0.3172,0.365,0.393,0.3542,0.3877,0.3985,0.3879,0.3269
,,0.0364,0.0351,0.0363,0.0369,0.0364,0.0374,0.0628,0.0377,,,,,,0.4466,0.4331,0.503,0.456,0.3679,0.3061,0.2966,0.3191,,,,,,0.343,0.3324,0.3996,0.3574,0.3948,0.3591,0.49,0.3844,,,,
,,0.0362,0.0368,0.0365,0.0388,0.0402,0.0369,0.0376,0.058,,,,,,0.47,0.5493,0.4892,0.4225,0.3553,0.3333,0.331,0.3767,,,,,,0.3605,0.4459,0.3829,0.3301,0.381,0.3811,0.3795,0.4508,,,,
,,0.0359,0.0366,0.0354,0.036,0.0363,0.0399,0.0398,0.0373,,,,,,0.4323,0.6314,0.4151,0.4456,0.3252,0.4074,0.4605,0.3301,,,,,,0.3319,0.5243,0.3217,0.3462,0.3426,0.4914,0.5728,0.3781,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate_2-24-2020; Date Last Saved: 2/24/2020 8:06:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate2"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
