"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.0352,0.0322,0.0362,0.0355,0.3238,0.2466,"A02",1.38648262732032,1.46849160233222,7.8525777541356,8.09149162219381,2.95265544615918,2020-02-24,"Sump",13.6,8.02337949791206
"A","03",0.0372,0.0341,0.0386,0.0376,0.3237,0.3556,"A03",0.913455464308275,0.996873823752369,7.67106207856725,8.09149162219381,5.19594610310647,2020-02-24,"Tank1",16.9,7.78657983819537
"A","04",0.0382,0.0348,0.0382,0.0374,0.3308,0.3608,"A04",0.917748917748918,1.00115448484848,7.67304537070536,8.09149162219381,5.17143526838384,2020-02-24,"Tank2",17,7.78717270962317
"A","05",0.0359,0.0321,0.0352,0.0393,0.3106,0.3541,"A05",0.871949286846276,0.955491313946117,7.65146199789435,8.09149162219381,5.43817685100883,2020-02-24,"Tank3",17,7.76483640233497
"A","06",0.038,0.0352,0.039,0.0382,0.26,0.337,"A06",0.754197447951645,0.838090316655473,7.59111571531051,8.09149162219381,6.18397608558162,2020-02-24,"Tank4",17,7.70216013542048
"A","07",0.0376,0.0343,0.0375,0.0373,0.2832,0.3507,"A07",0.794896331738437,0.878667938118022,7.61283707933579,8.09149162219381,5.91552911635154,2020-02-24,"Tank7",17.2,7.72189467016722
"A","08",0.0358,0.0318,0.035,0.0358,0.2891,0.3639,"A08",0.782304651869869,0.866113775159623,7.60622098752297,8.09149162219381,5.9972951506223,2020-02-24,"Tank8",17,7.71788001950073
"A","09",0.0349,0.0313,0.0354,0.035,0.2477,0.341,"A09",0.708019639934533,0.792050095417348,7.56521623139018,8.09149162219381,6.50405902120861,2020-02-24,"Tank9",17.1,7.67374868445501
"A","10",0.0371,0.0341,0.0381,0.0366,0.2674,0.352,"A10",0.743638676844784,0.827563005407125,7.58531610797473,8.09149162219381,6.2556514651849,2020-02-24,"Tank10",17,7.69611898190464
"A","11",0.0365,0.0331,0.0361,0.0366,0.3856,0.3077,"A11",1.29797421731123,1.38024690313076,7.82319175187961,8.09149162219381,3.31582707912964,2020-02-24,"Tank11",17.1,7.93999722367129
