"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.0376,0.0385,0.0398,0.0368,0.4712,0.3154,"A02",1.56837916063676,1.64984617492764,7.89566293618831,8.06039433351718,2.04371387444258,2020-02-24,"Sump",13.8,8.07963651035266
"A","03",0.0393,0.0393,0.0425,0.0383,0.4041,0.3354,"A03",1.24464103436543,1.32707262640354,7.79202327629444,8.06039433351718,3.32950282725977,2020-02-24,"Tank1",17,7.92440285480187
"A","04",0.0396,0.0372,0.0425,0.0463,0.4086,0.3351,"A04",1.27562084644981,1.35796013413781,7.80288563411449,8.06039433351718,3.19474071301832,2020-02-24,"Tank2",17,7.93555290670494
"A","05",0.0379,0.0347,0.0388,0.0368,0.3065,0.3206,"A05",0.964651820431248,1.04791764033227,7.68154788790602,8.06039433351718,4.7000981581735,2020-02-24,"Tank3",17,7.81044839028438
"A","06",0.0548,0.0519,0.0567,0.072,0.338,0.3999,"A06",0.824846625766871,0.908528995245399,7.61554138981813,8.06039433351718,5.51899727596748,2020-02-24,"Tank4",17,7.74181186089355
"A","07",0.041,0.0381,0.0429,0.0393,0.3071,0.3771,"A07",0.805894611491515,0.889633448496576,7.60586245219568,8.06039433351718,5.63907747579347,2020-02-24,"Tank7",17,7.73170935762705
"A","08",0.0363,0.0329,0.0361,0.0365,0.2904,0.3622,"A08",0.7895059834305,0.873293650352869,7.59733335522396,8.06039433351718,5.74489236051017,2020-02-24,"Tank8",17,7.72279883466113
"A","09",0.0388,0.0355,0.0392,0.0388,0.296,0.378,"A09",0.768890200708383,0.852739292355372,7.58638536657114,8.06039433351718,5.88071684005572,2020-02-24,"Tank9",17,7.71135000003963
"A","10",0.0414,0.0384,0.0428,0.0465,0.3186,0.4039,"A10",0.772752808988764,0.856590391994382,7.58845565411486,8.06039433351718,5.85503214699904,2020-02-24,"Tank10",17,7.71351596782935
"A","11",0.0399,0.0364,0.0406,0.0486,0.4418,0.3233,"A11",1.4478102189781,1.52963646843066,7.85941977883569,8.06039433351718,2.49335884034588,2020-02-24,"Tank11",17,7.99345272450493
"A","12",0.0387,0.0352,0.0389,0.0457,0.3976,0.2968,"A12",1.41650059784775,1.49842013431646,7.84958623178545,8.06039433351718,2.61535717744153,2020-02-24,"Tank12",17,7.98339647963901
"B","02",0.0383,0.0346,0.0379,0.0375,0.4644,0.3135,"B02",1.55788712011577,1.63938539544139,7.89260543996,8.06039433351718,2.08164621499311,2020-02-24,"Sump",13.8,8.07649758604838
