##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0372,0.0422,0.0344,0.0364,0.0362,0.0348,0.0376,0.0371,0.0353,0.0395,0.0345,,,0.0385,0.0451,0.0317,0.0338,0.0336,0.0318,0.0357,0.0344,0.0334,0.0369,0.0319,,,0.0369,0.0462,0.0338,0.0365,0.0369,0.0358,0.0412,0.0386,0.0384,0.041,0.0358
,,,0.0342,0.0368,0.0378,0.0469,0.036,0.0359,0.0367,0.0375,0.0354,0.0356,0.0365,,,0.0312,0.035,0.0362,0.0471,0.0331,0.0327,0.0344,0.0353,0.0328,0.0342,0.0337,,,0.0336,0.0394,0.0401,0.0519,0.0371,0.0361,0.0399,0.0403,0.0373,0.0373,0.0382
,,,0.036,0.0348,0.036,0.0362,0.0347,0.0358,0.0411,0.0368,0.0364,0.0363,0.0352,,,0.0326,0.0315,0.0331,0.0333,0.0313,0.0329,0.0388,0.034,0.0327,0.0329,0.0326,,,0.0352,0.0356,0.036,0.0383,0.0343,0.037,0.0426,0.0373,0.036,0.0372,0.0372
,,0.0359,0.0361,0.0348,0.0353,0.0355,0.037,0.0348,0.0353,,,,,,0.0327,0.033,0.0312,0.032,0.0322,0.0342,0.0312,0.032,,,,,,0.0358,0.0367,0.0342,0.036,0.0351,0.038,0.0338,0.0347,,,,
,,0.0475,0.0377,0.0357,0.0382,0.0347,0.0381,0.0363,0.0371,,,,,,0.0454,0.0346,0.0325,0.0352,0.0316,0.0353,0.0333,0.0338,,,,,,0.0487,0.0366,0.037,0.0388,0.036,0.0388,0.0367,0.0371,,,,
,,0.0345,0.0379,0.0367,0.0353,0.0366,0.0356,0.0361,0.0379,,,,,,0.0313,0.035,0.0331,0.0332,0.0333,0.0324,0.0328,0.0348,,,,,,0.0337,0.0393,0.0368,0.0378,0.0394,0.036,0.0363,0.0369,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0421,0.0427,0.0347,0.0364,0.0361,0.0346,0.0373,0.037,0.0351,0.039,0.0351,,,0.3771,0.3532,0.2631,0.2927,0.289,0.2799,0.2675,0.2683,0.311,0.3678,0.3541,,,0.2663,0.3067,0.3097,0.3104,0.2979,0.322,0.3163,0.3216,0.3152,0.2869,0.275
,,,0.0348,0.0353,0.0369,0.0538,0.0356,0.0353,0.0366,0.0359,0.0355,0.0358,0.0386,,,0.3719,0.3191,0.2755,0.3164,0.3061,0.2661,0.2686,0.2588,0.3129,0.3566,0.3521,,,0.2563,0.2908,0.3086,0.3244,0.311,0.3005,0.3092,0.3104,0.3178,0.2779,0.2762
,,,0.0362,0.0354,0.0358,0.0367,0.0353,0.0361,0.0412,0.0374,0.0358,0.0356,0.0355,,,0.3999,0.3068,0.2834,0.3072,0.2985,0.2778,0.2847,0.2786,0.3025,0.3418,0.3576,,,0.2771,0.2827,0.3109,0.3254,0.2966,0.3031,0.3239,0.3196,0.3004,0.2704,0.278
