Sample.Name,pHmean,SE
Sump,8.062879736,0.002378475
Tank1,7.889266793,0.004687968
Tank10,7.834935933,0.001684823
Tank11,7.96018978,0.001274254
Tank12,7.963582343,0.000546617
Tank13,7.942386891,0.000420502
Tank14,7.91392906,0.001955395
Tank15,7.926875587,0.001481417
Tank16,7.869880561,0.002672403
Tank17,7.809650457,0.003032984
Tank18,7.826922256,0.003012805
Tank19,7.822660072,0.004382775
Tank2,7.774060396,0.006218723
Tank20,7.81802586,0.002792023
Tank3,7.813299069,0.003422355
Tank4,7.829334852,0.002964129
Tank7,7.779024041,0.004446579
Tank8,7.765226395,0.002868058
Tank9,7.754060205,0.003819202
