Sample.Name,pHmean,SE
Sump,7.974175296,0.001214494
Tank1,7.765532083,0.005721515
Tank10,7.746014463,0.006718671
Tank11,7.909823878,0.001396537
Tank12,7.915312228,0.00340312
Tank13,7.910447511,0.001221321
Tank14,7.920464887,0.002306739
Tank15,7.897319482,0.001891008
Tank16,7.870930993,0.001733806
Tank17,7.798871069,0.004557157
Tank18,7.774165878,0.00309358
Tank19,7.771062797,0.005482595
Tank2,7.78024853,0.003196479
Tank20,7.758140553,0.003866056
Tank3,7.774384697,0.005251016
Tank4,7.760782404,0.003500679
Tank7,7.752623539,0.005576838
Tank8,7.741041511,0.00448665
Tank9,7.734507865,0.006089975
