"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.035,0.0314,0.0341,0.0343,0.3229,0.2721,"A02",1.22413070800168,1.30662341055718,7.79825900758035,8.09008870581408,3.60724967111926,2020-02-06,"Sump",13.8,7.96435070205656
"A","03",0.0367,0.0337,0.0381,0.0359,0.3066,0.3153,"A03",0.984532374100719,1.06773895989209,7.70385129438101,8.09008870581408,4.77420490031834,2020-02-06,"Tank1",17,7.81898243466938
"A","04",0.0366,0.0331,0.0354,0.0348,0.2942,0.3204,"A04",0.916666666666667,1.00007545833333,7.67349421138183,8.09008870581408,5.14944285014902,2020-02-06,"Tank2",17,7.78763676815623
"A","05",0.0365,0.0327,0.0349,0.0373,0.2833,0.337,"A05",0.829074012612015,0.912743786591437,7.63130193530141,8.09008870581408,5.67097330073719,2020-02-06,"Tank3",17,7.74393509553192
"A","06",0.0365,0.034,0.0366,0.0361,0.2727,0.3291,"A06",0.816319562990782,0.900027338852851,7.6248406163154,8.09008870581408,5.75084039763774,2020-02-06,"Tank4",16.9,7.73866705945792
"A","07",0.0359,0.0326,0.0351,0.0347,0.2674,0.3241,"A07",0.813232253618195,0.896949228118539,7.62326353777982,8.09008870581408,5.77033435614578,2020-02-06,"Tank7",16.9,7.73702880073601
"A","08",0.0357,0.0317,0.0347,0.0344,0.2694,0.3323,"A08",0.799598527935764,0.88335612412178,7.6162368040459,8.09008870581408,5.8571904338656,2020-02-06,"Tank8",17,7.72829178398691
"A","09",0.0355,0.0316,0.0352,0.0347,0.2639,0.3373,"A09",0.769560911191813,0.853408004456917,7.60038427844198,8.09008870581408,6.05314039412403,2020-02-06,"Tank9",17,7.71180831159073
"A","10",0.0364,0.033,0.0364,0.0354,0.2675,0.3268,"A10",0.808167467398765,0.89189953242965,7.62066510704475,8.09008870581408,5.80245304890136,2020-02-06,"Tank10",17,7.73289220364985
"A","11",0.0361,0.0324,0.0363,0.0352,0.3466,0.2997,"A11",1.19220582671207,1.27479364945138,7.78665671337295,8.09008870581408,3.75066335456944,2020-02-06,"Tank11",17.1,7.90260802209327
"A","12",0.0366,0.0318,0.0354,0.0343,0.4226,0.3617,"A12",1.19628727936701,1.27886294141814,7.78815487188451,8.09008870581408,3.7321449110018,2020-02-06,"Tank12",17,7.90563901862143
"B","02",0.0349,0.0309,0.0333,0.0349,0.3488,0.2877,"B02",1.24960691823899,1.3320237144261,7.80733169511247,8.09008870581408,3.49510395971805,2020-02-06,"Sump",13.8,7.97371414459931
"B","03",0.0344,0.0307,0.033,0.0345,0.3186,0.3169,"B03",1.01409443269908,1.09721293833686,7.71651169231098,8.09008870581408,4.61771220425096,2020-02-06,"Tank1",17,7.83203196729484
"B","04",0.0372,0.0341,0.0364,0.0375,0.302,0.3218,"B04",0.938618028761838,1.02196141634514,7.68352001964304,8.09008870581408,5.02551580032556,2020-02-06,"Tank2",17,7.79799788826443
"B","05",0.0367,0.0328,0.0359,0.0348,0.2869,0.3261,"B05",0.876412187606984,0.959940917494009,7.65455711010355,8.09008870581408,5.38352064542299,2020-02-06,"Tank3",17,7.76804205058121
"B","06",0.0342,0.0302,0.0326,0.0343,0.278,0.3252,"B06",0.846837606837607,0.930454454188034,7.64015953831325,8.09008870581408,5.56148620691243,2020-02-06,"Tank4",16.9,7.75456825016876
"B","07",0.0359,0.0323,0.0354,0.0358,0.2836,0.3381,"B07",0.830250990752972,0.913917257926024,7.6318938582216,8.09008870581408,5.66365665759867,2020-02-06,"Tank7",16.9,7.74599109363604
"B","08",0.0358,0.0322,0.0352,0.035,0.2675,0.3261,"B08",0.80939321220432,0.893121625128557,7.6212952451222,8.09008870581408,5.79466403569816,2020-02-06,"Tank8",17,7.73354668696509
"B","09",0.037,0.0338,0.0375,0.0353,0.2603,0.3285,"B09",0.77963785445849,0.863454923471131,7.60576086218799,8.09008870581408,5.98668149680515,2020-02-06,"Tank9",17,7.71740148240089
"B","10",0.0368,0.0329,0.0358,0.0348,0.2746,0.3349,"B10",0.809365659249419,0.893094154267685,7.6212810895698,8.09008870581408,5.79483900970533,2020-02-06,"Tank10",17,7.73353198491708
"B","11",0.0358,0.0325,0.0365,0.035,0.3417,0.2961,"B11",1.19047619047619,1.27306916666667,7.78602048706334,8.09008870581408,3.75852762321656,2020-02-06,"Tank11",17.1,7.90195613669722
"B","12",0.0353,0.0319,0.0342,0.035,0.3602,0.3048,"B12",1.21299372462163,1.29551960981912,7.79424155646073,8.09008870581408,3.65690859657375,2020-02-06,"Tank12",17,7.9118751885309
"C","02",0.0355,0.0322,0.0348,0.0349,0.3588,0.2945,"C02",1.25701114099116,1.33940587629658,7.80993856430105,8.09008870581408,3.4628809608935,2020-02-06,"Sump",13.8,7.97640319838193
"C","03",0.0355,0.0322,0.0353,0.0348,0.3126,0.3133,"C03",1.00861141011841,1.09174625242196,7.7141878432364,8.09008870581408,4.64643684694751,2020-02-06,"Tank1",17,7.82963768900904
"C","04",0.0369,0.0336,0.0364,0.0355,0.3052,0.3233,"C04",0.946930280957336,1.03024890218522,7.68726360074079,8.09008870581408,4.97924212850469,2020-02-06,"Tank2",17,7.80186442418075
"C","05",0.0371,0.0336,0.0369,0.0357,0.2699,0.3112,"C05",0.862169024301777,0.94574019169387,7.64767643798196,8.09008870581408,5.4685712841959,2020-02-06,"Tank3",17,7.76091447191873
