"Sample.Name","pHmean","SE"
"Sump-01",7.96474831771781,NA
"Sump-02",7.95424979817213,NA
"Sump-03",7.96509215749301,NA
"T1-01",7.86497721807496,NA
"T1-02",7.85015298241766,NA
"T1-03",7.83837277005826,NA
"T10-01",7.805524031153,NA
"T10-02",7.80509908828419,NA
"T10-03",7.80654312417726,NA
"T11-01",7.91620394561867,NA
"T11-02",7.91709738306785,NA
"T11-03",7.91491828473479,NA
"T12-01",7.93283112420171,NA
"T12-02",7.90239460562559,NA
"T12-03",7.91995578382596,NA
"T14-01",7.90921740184052,NA
"T14-02",7.91834220607064,NA
"T14-03",7.92169295409499,NA
"T15-01",7.92353158209554,NA
"T15-02",7.92870419896872,NA
"T15-03",7.9402376024558,NA
"T16-01",7.93630540767062,NA
"T16-02",7.92648954635822,NA
"T16-03",7.93990620926686,NA
"T17-01",7.85127294716816,NA
"T17-02",7.84281420330751,NA
"T17-03",7.84425365748479,NA
"T18-01",7.84821066336217,NA
"T18-02",7.84561662816278,NA
"T18-03",7.84326765620566,NA
"T19-01",7.85381063042285,NA
"T19-02",7.85206930804998,NA
"T19-03",7.85172371669692,NA
"T2-01",7.86326482946482,NA
"T2-02",7.8453537899007,NA
"T2-03",7.8409196618691,NA
"T20-01",7.79310619168574,NA
"T20-02",7.78769028049075,NA
"T20-03",7.79147888451152,NA
"T5-01",7.79197069563722,NA
"T5-02",7.78118090009194,NA
"T5-03",7.77699766702394,NA
"T6-01",7.78779903138869,NA
"T6-02",7.79901636631163,NA
"T6-03",7.79490119761193,NA
"T7-01",7.80005837646756,NA
"T7-02",7.79885269655806,NA
"T7-03",7.79667825750584,NA
"T8-01",7.80257184406193,NA
"T8-02",7.79543616095846,NA
"T8-03",7.80257127231419,NA
"Tris01",8.08465518114891,NA
"Tris02",8.02313949461838,NA
"Tris03",8.08737534954719,NA
