"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","01",0.0347,0.0323,0.0356,0.0347,0.5838,0.2504,"A01",2.56750465549348,2.71651498603352,8.1542379158129,8.0935490943466,0.749841889619082,2020-01-13,"TrisP",22,8.20017621224888
"A","02",0.0362,0.0338,0.0367,0.0342,0.6142,0.2599,"A02",2.58614564831261,2.73509807992895,8.15774712846147,8.0935490943466,0.793200033341551,2020-01-13,"TrisG",22,8.20370181046549
"A","03",0.0345,0.0322,0.0356,0.0345,0.4246,0.3518,"A03",1.24098671726755,1.39411721252372,7.82671408061399,8.0935490943466,3.29688509480959,2020-01-13,"Tank20",17.016,7.9448626843677
"A","04",0.0362,0.0336,0.0357,0.0344,0.453,0.3184,"A04",1.4804920913884,1.63287868295255,7.90207148183653,8.0935490943466,2.36580528860714,2020-01-13,"Tank1",17.131,8.01998194995481
"A","05",0.0354,0.0328,0.0358,0.0343,0.3699,0.3076,"A05",1.23928178820081,1.39241757896665,7.82613659428344,8.0935490943466,3.30402023816663,2020-01-13,"Tank7",16.934,7.94550787765066
"A","06",0.0352,0.0326,0.0353,0.0347,0.3182,0.3136,"A06",1.02618364418938,1.17998131779053,7.74826859927935,8.0935490943466,4.26611973365832,2020-01-13,"Tank5",16.899,7.86620752282535
"A","07",0.0351,0.0323,0.0343,0.0344,0.4654,0.2634,"A07",1.88772845953003,2.03885017493473,8.0099835005786,8.0935490943466,1.03249628554639,2020-01-13,"Sump",14.699,8.16730188725291
"B","01",0.0346,0.0326,0.0342,0.0351,0.6881,0.2884,"B01",2.5817895151754,2.73075547694127,8.15692882782488,8.0935490943466,0.783089504239242,2020-01-13,"TrisP",22,8.202879692236
"B","02",0.036,0.0336,0.0358,0.0351,0.6054,0.2564,"B02",2.58555304740406,2.73450731963883,8.15763587075135,8.0935490943466,0.791825386584916,2020-01-13,"TrisG",22,8.2035900338239
"B","03",0.0342,0.032,0.0348,0.0342,0.4194,0.341,"B03",1.26518615284128,1.41824148465055,7.83484189441945,8.0935490943466,3.19646173651877,2020-01-13,"Tank20",17.016,7.95316899534049
"B","04",0.0355,0.0329,0.0359,0.0344,0.4515,0.325,"B04",1.44624396967609,1.59873693590627,7.89193501548663,8.0935490943466,2.49104659167134,2020-01-13,"Tank1",17.131,8.00966148245545
"B","05",0.0356,0.0335,0.0374,0.0342,0.3941,0.3279,"B05",1.24015073655361,1.39328382836588,7.82643100160271,8.0935490943466,3.30038268292555,2020-01-13,"Tank7",16.934,7.94580889183029
"B","06",0.0336,0.0304,0.034,0.034,0.3521,0.3461,"B06",1.03079884504331,1.18458218383061,7.75008848919823,8.0935490943466,4.24363404910069,2020-01-13,"Tank5",16.899,7.8680782422352
"B","07",0.0337,0.0312,0.0344,0.0341,0.4876,0.2763,"B07",1.88819875776397,2.03931901242236,8.01009671224474,8.0935490943466,1.03109749664894,2020-01-13,"Sump",14.699,8.16741711806536
"C","01",0.0328,0.0296,0.0306,0.0338,0.7202,0.3008,"C01",2.56166419019317,2.71069266121843,8.15313438722362,8.0935490943466,0.736207221114423,2020-01-13,"TrisP",22,8.19906752317403
"C","02",0.0345,0.0316,0.0332,0.0361,0.6633,0.2801,"C02",2.56869139828781,2.71769804280473,8.15446190823894,8.0935490943466,0.752609432305641,2020-01-13,"TrisG",22,8.20040125167963
"C","03",0.0345,0.0315,0.0342,0.0338,0.4644,0.383,"C03",1.24062947067239,1.39376107553648,7.82659312912107,8.0935490943466,3.29837951328417,2020-01-13,"Tank20",17.016,7.94473904628571
"C","04",0.0348,0.0317,0.0341,0.0344,0.4441,0.3159,"C04",1.462792345854,1.61523391282778,7.89685700447806,8.0935490943466,2.43023286293437,2020-01-13,"Tank1",17.131,8.01467341728342
"C","05",0.0351,0.0325,0.0352,0.0342,0.3858,0.3234,"C05",1.22518159806295,1.37836118401937,7.82133566140922,8.0935490943466,3.3633382557415,2020-01-13,"Tank7",16.934,7.94059844321713
"C","06",0.035,0.0323,0.0354,0.0347,0.3234,0.3199,"C06",1.02317415730337,1.17698117837079,7.74707831330076,8.0935490943466,4.2808263347393,2020-01-13,"Tank5",16.899,7.86498385299858
"C","07",0.0348,0.0321,0.0343,0.0345,0.4753,0.2645,"C07",1.92407809110629,2.07508690455531,8.01866758269076,8.0935490943466,0.925199943596389,2020-01-13,"Sump",14.699,8.17613960298017
