"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu"
"A","02",0.0343,0.0358,0.0348,0.0344,0.3953,0.2558,"A02",1.62698053417836,1.70827294567678,7.91242626473439,8.06039433351718,1.83574230565248,2020-01-30,"Sump",14.809
"A","03",0.0388,0.0362,0.0394,0.0383,0.2824,0.3018,"A03",0.938379612019779,1.02172370996577,7.66980445512105,8.06039433351718,4.84579118880024,2020-01-30,"Tank1",16.985
"A","04",0.0349,0.0315,0.034,0.0351,0.2781,0.2913,"A04",0.958381952547647,1.04166645352003,7.67877066846215,8.06039433351718,4.73455328938617,2020-01-30,"Tank2",16.949
"A","05",0.0346,0.0306,0.0328,0.0347,0.2285,0.2884,"A05",0.774168297455969,0.858001663013699,7.58921210392667,8.06039433351718,5.84564737274971,2020-01-30,"Tank7",16.978
"A","06",0.0367,0.0331,0.036,0.0365,0.2839,0.3058,"A06",0.92962962962963,1.01299979814815,7.66583017071387,8.06039433351718,4.89509751604345,2020-01-30,"Tank8",17.054
"A","07",0.0344,0.0302,0.0335,0.0344,0.2555,0.3279,"A07",0.765285326086957,0.84914515845788,7.58444514216192,8.06039433351718,5.90478792552542,2020-01-30,"Tank9",17.084
"A","08",0.0354,0.0328,0.0384,0.0348,0.2303,0.3008,"A08",0.753231939163498,0.83712768460076,7.57790022502666,8.06039433351718,5.98598639875697,2020-01-30,"Tank10",17.073
"A","09",0.039,0.0363,0.0398,0.0366,0.3403,0.2749,"A09",1.29010526315789,1.37240139452632,7.80788641620738,8.06039433351718,3.13269930553902,2020-01-30,"Tank11",17.01
"A","10",0.036,0.0334,0.038,0.0355,0.3584,0.2881,"A10",1.29888268156425,1.38115266061453,7.81089334695373,8.06039433351718,3.09539429759613,2020-01-30,"Tank12",17.082
"A","11",0.0348,0.0303,0.033,0.035,0.361,0.3102,"A11",1.19314079422383,1.27572583122744,7.77343847377387,8.06039433351718,3.56007222314268,2020-01-30,"Tank13",17.015
"A","12",0.0362,0.0327,0.037,0.0385,0.3636,0.2834,"A12",1.34616960262188,1.42829869029086,7.82679786718043,8.06039433351718,2.89807739759571,2020-01-30,"Tank14",17.015
"B","02",0.0355,0.0325,0.0346,0.035,0.4251,0.28,"B02",1.59861732411549,1.67999424379829,7.90437814206313,8.06039433351718,1.93559005922698,2020-01-30,"Sump",14.809
"B","03",0.0375,0.0342,0.0365,0.0366,0.2699,0.276,"B03",0.984193011647254,1.06740060856905,7.69010459409651,8.06039433351718,4.59394074407642,2020-01-30,"Tank1",16.985
"B","04",0.0366,0.0335,0.0363,0.0354,0.2777,0.2829,"B04",0.990314769975787,1.07350412711864,7.69275497300444,8.06039433351718,4.56105923979426,2020-01-30,"Tank2",16.949
"B","05",0.0352,0.0319,0.0349,0.0351,0.2511,0.3012,"B05",0.823198198198198,0.906885479166667,7.61470717411062,8.06039433351718,5.52934684043031,2020-01-30,"Tank7",16.978
"B","06",0.0355,0.0321,0.0353,0.0345,0.2956,0.3002,"B06",0.99473486273035,1.07791105020684,7.69465983138625,8.06039433351718,4.53742691731737,2020-01-30,"Tank8",17.054
"B","07",0.0349,0.0312,0.0347,0.0347,0.2461,0.3256,"B07",0.738921332875301,0.822859716763999,7.57001188977015,8.06039433351718,6.08385177519037,2020-01-30,"Tank9",17.084
"B","08",0.0354,0.0321,0.0359,0.0364,0.242,0.3017,"B08",0.788897280966767,0.872686761518127,7.597013645623,8.06039433351718,5.748858786813,2020-01-30,"Tank10",17.073
"B","09",0.0356,0.0328,0.0362,0.0354,0.3344,0.2701,"B09",1.28919265271252,1.37149150320376,7.80757276715119,8.06039433351718,3.13659054265734,2020-01-30,"Tank11",17.01
"B","10",0.0349,0.0309,0.034,0.0351,0.3796,0.2969,"B10",1.32660829843928,1.40879566901408,7.82027786363743,8.06039433351718,2.97896678430842,2020-01-30,"Tank12",17.082
"B","11",0.0366,0.0324,0.0356,0.0358,0.3399,0.2943,"B11",1.18805394990366,1.27065414315992,7.77156541116538,8.06039433351718,3.58331007641617,2020-01-30,"Tank13",17.015
"B","12",0.0371,0.0342,0.0382,0.0368,0.3616,0.2819,"B12",1.34303278688525,1.42517122069672,7.82575784283669,8.06039433351718,2.91098029416265,2020-01-30,"Tank14",17.015
"C","02",0.0363,0.0328,0.0342,0.0351,0.3329,0.2233,"C02",1.58328954282711,1.66471213163426,7.89997811552153,8.06039433351718,1.9901782885311,2020-01-30,"Sump",14.809
"C","03",0.0353,0.0312,0.0342,0.0357,0.2808,0.2867,"C03",0.988496628322094,1.07169140261801,7.69196930195553,8.06039433351718,4.57080654267302,2020-01-30,"Tank1",16.985
"C","04",0.0353,0.0316,0.0345,0.0356,0.2966,0.302,"C04",0.99064371257485,1.07383208963323,7.69289698523509,8.06039433351718,4.55929738764689,2020-01-30,"Tank2",16.949
"C","05",0.0353,0.0309,0.0339,0.0351,0.2738,0.324,"C05",0.837409576300379,0.921054514467792,7.62185232084342,8.06039433351718,5.44070171418525,2020-01-30,"Tank7",16.978
"C","06",0.0366,0.033,0.0353,0.0355,0.2866,0.2912,"C06",0.991050583657588,1.07423774844358,7.69307258461196,8.06039433351718,4.55711884191321,2020-01-30,"Tank8",17.054
"C","07",0.0354,0.0319,0.0351,0.0357,0.2431,0.3082,"C07",0.773093841642229,0.856930408541056,7.58863801386742,8.06039433351718,5.85276972973984,2020-01-30,"Tank9",17.084
"C","08",0.0368,0.0326,0.0359,0.0361,0.2613,0.324,"C08",0.794321329639889,0.878094649238227,7.59985507929781,8.06039433351718,5.7136069919598,2020-01-30,"Tank10",17.073
"C","09",0.0381,0.0351,0.0379,0.0374,0.339,0.2696,"C09",1.31067125645439,1.39290611144578,7.81490440225133,8.06039433351718,3.04563177815066,2020-01-30,"Tank11",17.01
"C","10",0.038,0.0354,0.0384,0.0392,0.3312,0.2665,"C10",1.29836932569414,1.38064083428823,7.81071796644498,8.06039433351718,3.09757012797727,2020-01-30,"Tank12",17.082
"C","11",0.035,0.03,0.0323,0.0355,0.3526,0.3028,"C11",1.19296296296296,1.27554852981481,7.77337310972685,8.06039433351718,3.56088315179351,2020-01-30,"Tank13",17.015
"C","12",0.0355,0.0317,0.0354,0.0359,0.3679,0.2849,"C12",1.34805299076676,1.43017646688077,7.82742131109062,8.06039433351718,2.89034273990546,2020-01-30,"Tank14",17.015
"D","01",0.0349,0.0313,0.034,0.0349,0.331,0.2593,"D01",1.33022636484687,1.41240295539281,7.82149001472002,8.06039433351718,2.96392842473886,2020-01-30,"Tank15",16.91
"D","02",0.0354,0.0322,0.0353,0.0357,0.3364,0.2827,"D02",1.22986645082962,1.31234206373938,7.78676054877704,8.06039433351718,3.39479401897622,2020-01-30,"Tank16",17.217
"D","03",0.0364,0.0324,0.0345,0.0379,0.3119,0.3089,"D03",1.0186881641627,1.10179298277757,7.70485705057636,8.06039433351718,4.41091673967365,2020-01-30,"Tank17",17.091
