##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0359,0.0363,0.0351,0.0423,0.0351,0.0381,0.0361,0.0419,0.0418,0.0371,0.0363,,,0.0338,0.0332,0.032,0.0392,0.0318,0.0386,0.0393,0.0428,0.0404,0.0333,0.0364,,,0.0362,0.0359,0.0359,0.0425,0.0353,0.0437,0.044,0.0474,0.0461,0.0362,0.039
,,,0.0358,0.0358,0.0351,0.0352,0.0349,0.0347,0.0346,0.0369,0.0357,0.0358,0.0362,,,0.0323,0.0325,0.0333,0.0318,0.0326,0.0309,0.0309,0.0331,0.033,0.0327,0.0336,,,0.035,0.0353,0.0366,0.035,0.0371,0.0346,0.0332,0.0378,0.0361,0.035,0.0371
,,,0.0362,0.0358,0.0359,0.0356,0.0362,0.0357,0.0366,0.0359,0.0357,0.0386,0.0346,,,0.0323,0.0321,0.0325,0.0325,0.0329,0.0317,0.0334,0.0323,0.0325,0.0348,0.0314,,,0.0348,0.0347,0.0355,0.0362,0.036,0.0331,0.0365,0.0355,0.036,0.0394,0.0344
,,0.0336,0.0349,0.0356,0.0361,0.0371,0.0346,0.0354,0.0349,,,,,,0.03,0.0318,0.0317,0.0323,0.0341,0.0303,0.0314,0.0308,,,,,,0.0323,0.035,0.034,0.0352,0.0365,0.0327,0.0338,0.0331,,,,
,,0.0356,0.0344,0.0358,0.0348,0.0347,0.0362,0.0343,0.0345,,,,,,0.0322,0.0305,0.0317,0.031,0.0307,0.032,0.0299,0.0303,,,,,,0.0344,0.0324,0.0348,0.0338,0.033,0.035,0.0316,0.0321,,,,
,,0.0378,0.0354,0.0355,0.0357,0.0366,0.0363,0.0354,0.0354,,,,,,0.0339,0.0323,0.032,0.0318,0.0332,0.0322,0.0318,0.0317,,,,,,0.0367,0.0361,0.0355,0.0339,0.0362,0.0356,0.0344,0.0351,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.035,0.0364,0.035,0.0437,0.035,0.0402,0.036,0.0413,0.0409,0.0365,0.0354,,,0.3477,0.332,0.3321,0.3051,0.2315,0.2932,0.3017,0.2954,0.263,0.3872,0.3485,,,0.2762,0.3038,0.2997,0.3189,0.269,0.327,0.3295,0.3351,0.3006,0.3066,0.2655
,,,0.035,0.0362,0.0357,0.0356,0.0352,0.0351,0.0349,0.0391,0.0348,0.0363,0.0361,,,0.3662,0.3134,0.3176,0.3018,0.2912,0.2838,0.2578,0.2836,0.2849,0.3724,0.367,,,0.2916,0.2833,0.2802,0.3083,0.332,0.322,0.2947,0.3322,0.3273,0.2941,0.2831
,,,0.0374,0.0362,0.0361,0.0356,0.0414,0.0356,0.0366,0.0364,0.0357,0.0407,0.0352,,,0.3442,0.2881,0.3209,0.3038,0.2861,0.2879,0.2841,0.294,0.2885,0.3821,0.373,,,0.2775,0.2608,0.2844,0.3045,0.3212,0.3154,0.3054,0.3267,0.3137,0.3042,0.2859
,,0.0344,0.0348,0.0356,0.0362,0.036,0.0351,0.0357,0.0351,,,,,,0.4052,0.2646,0.3393,0.3571,0.3558,0.3682,0.4633,0.3212,,,,,,0.3165,0.2613,0.2678,0.2787,0.3111,0.322,0.4327,0.2961,,,,
,,0.0354,0.0348,0.0356,0.0348,0.0357,0.036,0.0349,0.0348,,,,,,0.3635,0.296,0.3635,0.3786,0.3739,0.3449,0.3868,0.3567,,,,,,0.2849,0.2853,0.2852,0.2918,0.3246,0.2995,0.344,0.3244,,,,
,,0.0377,0.0346,0.0355,0.0363,0.0365,0.0362,0.0355,0.0354,,,,,,0.3606,0.3111,0.3898,0.3982,0.3306,0.3368,0.3869,0.3448,,,,,,0.2822,0.2975,0.304,0.3084,0.2846,0.2921,0.3442,0.3178,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate_2-1-2020; Date Last Saved: 2/1/2020 6:13:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
