"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.0355,0.0326,0.0344,0.0379,0.7684,0.932,"A02",0.819258266309205,0.902957286304736,7.6263370167565,8.09008870581408,5.73234368523427,2020-02-13,"Sump",13.5,7.78969281876937
"A","03",0.0352,0.0314,0.034,0.0365,0.3437,0.4622,"A03",0.728507847271024,0.81247725814008,7.57783543656047,8.09008870581408,6.3318622067206,2020-02-13,"Tank1",17,7.68832220656014
"A","04",0.0352,0.0314,0.0333,0.0378,0.6573,1.3936,"A04",0.459085217647492,0.543857373241511,7.39512178377906,8.09008870581408,8.59034983801321,2020-02-13,"Tank2",17,7.49649971230996
"A","05",0.0373,0.0341,0.037,0.0371,0.3532,0.4266,"A05",0.819138019497178,0.902837397768086,7.62627587737565,8.09008870581408,5.73309941713135,2020-02-13,"Tank3",17,7.73871846075747
"A","06",0.0374,0.0339,0.0365,0.0448,0.6252,1.7212,"A06",0.348119000775055,0.433221780212246,7.29237212078283,8.09008870581408,9.86041827276823,2020-02-13,"Tank4",17,7.38798228563171
"A","07",0.0351,0.0314,0.0351,0.0359,0.3303,0.4575,"A07",0.707068311195446,0.791101601162239,7.56562299080236,8.09008870581408,6.48281785383646,2020-02-13,"Tank7",17,7.67558277757912
"A","08",0.0347,0.0313,0.0347,0.035,0.3299,0.4893,"A08",0.656614571868809,0.740798188751926,7.53558360230878,8.09008870581408,6.85412884418428,2020-02-13,"Tank8",17,7.64419049954014
"A","09",0.0367,0.0333,0.0366,0.0362,0.3754,0.6736,"A09",0.537411764705882,0.621950546352941,7.45595583758329,8.09008870581408,7.83839202869382,2020-02-13,"Tank9",17,7.56061974202523
"A","10",0.037,0.0349,0.0408,0.0369,0.3575,0.51,"A10",0.687619859365012,0.771711095994034,7.55426741905985,8.09008870581408,6.62318184928125,2020-02-13,"Tank10",17,7.66372515306001
"A","11",0.0361,0.0322,0.0366,0.036,0.4865,0.4067,"A11",1.22744462452728,1.3099274532685,7.79944834481268,8.09008870581408,3.59254850682333,2020-02-13,"Tank11",17,7.91720785131129
"A","12",0.0383,0.0356,0.0397,0.0358,0.4791,0.4089,"A12",1.19989238633306,1.28245730696798,7.78947451170106,8.09008870581408,3.71583310201508,2020-02-13,"Tank12",17,7.90699128416897
"B","02",0.0351,0.0313,0.0335,0.0353,0.4738,0.4147,"B02",1.16089238845144,1.24357350958005,7.77501283308105,8.09008870581408,3.89459107545507,2020-02-13,"Sump",13.5,7.9448812103612
"B","03",0.0376,0.0344,0.038,0.0364,0.3332,0.406,"B03",0.812567713976165,0.896286668472373,7.62292339910731,8.09008870581408,5.77453874357446,2020-02-13,"Tank1",17,7.73523757529667
"B","04",0.0375,0.0342,0.0378,0.0364,0.3104,0.3693,"B04",0.833734215273602,0.917390104179194,7.63364140455681,8.09008870581408,5.6420555800487,2020-02-13,"Tank2",17,7.74636248285566
