"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.0369,0.0378,0.0382,0.0374,0.4481,0.3034,"A02",1.54816773706082,1.62969497128825,7.90298294339699,8.09048640342451,2.31757957034757,2020-02-17,"Sump",14,8.0689358302741
"A","03",0.0374,0.0353,0.0375,0.0378,0.421,0.3723,"A03",1.15221291866029,1.23491990026914,7.77146107251678,8.09048640342451,3.94321571040146,2020-02-17,"Tank1",17,7.8885219368389
"A","04",0.0356,0.0338,0.0375,0.0358,0.3748,0.3183,"A04",1.21454027084818,1.29706154811119,7.79452572877262,8.09048640342451,3.65813203179739,2020-02-17,"Tank2",17,7.9121662780369
"A","05",0.0366,0.0335,0.0363,0.0364,0.2511,0.3427,"A05",0.710371819960861,0.794395267123288,7.56724447069219,8.09048640342451,6.46737299392577,2020-02-17,"Tank3",17,7.67727500303617
"A","06",0.0354,0.0328,0.0367,0.0361,0.2856,0.3585,"A06",0.785113671753348,0.868914425568359,7.6083774701418,8.09048640342451,5.95896104687402,2020-02-17,"Tank4",17,7.72012253322051
"A","07",0.039,0.0378,0.0409,0.0386,0.3243,0.3167,"A07",1.03874004344678,1.12178511748733,7.72654729799473,8.09048640342451,4.49835877946392,2020-02-17,"Tank7",17,7.84236664707269
"A","08",0.0368,0.0363,0.0411,0.0397,0.2778,0.3382,"A08",0.811012916383413,0.894736503399048,7.62184689249413,8.09048640342451,5.79247634273283,2020-02-17,"Tank8",17,7.73411961713618
"A","09",0.0372,0.036,0.0418,0.0372,0.2761,0.346,"A09",0.789283366206443,0.873071696416831,7.61057158735456,8.09048640342451,5.93184132744858,2020-02-17,"Tank9",17,7.72240374333907
"A","10",0.0365,0.0326,0.0358,0.0364,0.2846,0.3006,"A10",0.951679879199698,1.03498434899962,7.68911159608161,8.09048640342451,4.96107140323482,2020-02-17,"Tank10",17,7.80377266796307
"A","11",0.0375,0.0408,0.0408,0.0408,0.4163,0.2987,"A11",1.46190102120974,1.54368528711705,7.87702628206669,8.09048640342451,2.6384089993336,2020-02-17,"Tank11",17,7.99646181386878
"A","12",0.0356,0.0364,0.0387,0.0364,0.3318,0.2566,"A12",1.35697835099033,1.43907523399355,7.84362385861712,8.09048640342451,3.05126950961676,2020-02-17,"Tank12",17.4,7.95634334178612
"B","02",0.038,0.0352,0.0375,0.0453,0.4601,0.3199,"B02",1.51799345692475,1.59961059541985,7.89404786410004,8.09048640342451,2.42801890429383,2020-02-17,"Sump",14,8.05978330964348
