"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.0342,0.0599,0.0482,0.0365,0.3244,0.2671,"A02",1.21052631578947,1.29305955263158,7.79334717745983,8.09008870581408,3.66796384001316,2020-02-03,"Sump",13.9,7.95775636050123
"A","03",0.0373,0.0347,0.0396,0.0369,0.3151,0.3021,"A03",1.06808672499049,1.15104436059338,7.73883233625295,8.09008870581408,4.34181110163472,2020-02-03,"Tank1",16.7,7.85945500539747
"A","04",0.0372,0.0348,0.0373,0.0375,0.2895,0.2816,"A04",1.04262295081967,1.1256564557377,7.72843021080613,8.09008870581408,4.47038973439242,2020-02-03,"Tank2",16.7,7.84874281373408
"A","05",0.0356,0.0318,0.0339,0.0349,0.2988,0.3075,"A05",0.975938753189938,1.05917094367481,7.70010925707412,8.09008870581408,4.82045948964308,2020-02-03,"Tank3",16.8,7.81806114628837
"A","06",0.0366,0.0336,0.0365,0.0355,0.2782,0.3057,"A06",0.908990011098779,0.99242167536071,7.66993905443067,8.09008870581408,5.19338744804442,2020-02-03,"Tank4",17.1,7.7825039832388
"A","07",0.0351,0.0322,0.0354,0.0345,0.2941,0.3102,"A07",0.953159041394335,1.0364591040305,7.69005026149279,8.09008870581408,4.94479676142233,2020-02-03,"Tank7",17,7.80474182290007
"A","08",0.0352,0.0327,0.0362,0.0356,0.2461,0.264,"A08",0.936675461741425,1.02002463720317,7.68264101681873,8.09008870581408,5.03638098186161,2020-02-03,"Tank8",17,7.79708983881963
"A","09",0.0349,0.0315,0.0361,0.0347,0.2702,0.3208,"A09",0.838539838539839,0.922181409090909,7.63604209892951,8.09008870581408,5.61238106769163,2020-02-03,"Tank9",17.1,7.7474101752625
"A","10",0.0364,0.0358,0.0396,0.035,0.2913,0.3184,"A10",0.916845110635261,1.00025337062812,7.67357654460273,8.09008870581408,5.14842514535127,2020-02-03,"Tank10",16.8,7.79064043189097
"A","11",0.0347,0.0314,0.0343,0.0352,0.2925,0.2591,"A11",1.16183682567989,1.24451513285778,7.7753679700812,8.09008870581408,3.89020129663967,2020-02-03,"Tank11",16.7,7.89701142280843
"A","12",0.0355,0.0321,0.0354,0.0366,0.3719,0.3025,"A12",1.27330827067669,1.35565444868421,7.81563008086545,8.09008870581408,3.39252924076582,2020-02-03,"Tank12",18,7.91876650755117
"B","02",0.0364,0.0348,0.0378,0.0372,0.3417,0.2959,"B02",1.18966187329965,1.27225727574815,7.78572067348601,8.09008870581408,3.76223356005147,2020-02-03,"Sump",13.9,7.94987813688777
"B","03",0.0337,0.0304,0.0341,0.0357,0.3115,0.2943,"B03",1.08094500387297,1.16386432823393,7.74400372989382,8.09008870581408,4.27788851896692,2020-02-03,"Tank1",16.7,7.86477726259784
"B","04",0.0362,0.0338,0.0364,0.0361,0.3056,0.2905,"B04",1.06963021243116,1.15258324921322,7.73945593823651,8.09008870581408,4.3341028798063,2020-02-03,"Tank2",16.7,7.86009691427333
"B","05",0.0339,0.0309,0.0347,0.0341,0.2955,0.305,"B05",0.978896704924102,1.06212008219178,7.70140048407026,8.09008870581408,4.80449888595763,2020-02-03,"Tank3",16.8,7.81939400848655
"B","06",0.0338,0.0305,0.0339,0.0342,0.2903,0.3133,"B06",0.929749103942652,1.01311891648746,7.67949398850148,8.09008870581408,5.07528078174865,2020-02-03,"Tank4",17.1,7.79237796445462
"B","07",0.0337,0.0306,0.0342,0.0341,0.2891,0.3045,"B07",0.956280103742127,1.03957086717303,7.69144066347286,8.09008870581408,4.92761027520909,2020-02-03,"Tank7",17,7.8061772481488
"B","08",0.0348,0.0333,0.0373,0.0345,0.289,0.3074,"B08",0.946745562130178,1.03006473372781,7.68718071836591,8.09008870581408,4.980266621287,2020-02-03,"Tank8",17,7.80177883275328
"B","09",0.0356,0.0333,0.0376,0.0355,0.2654,0.2961,"B09",0.897911832946636,0.981376504640372,7.66476259863978,8.09008870581408,5.257372602956,2020-02-03,"Tank9",17.1,7.77715135049524
"B","10",0.034,0.0298,0.0324,0.0342,0.2729,0.3139,"B10",0.863490934944898,0.94705816370423,7.64831914821318,8.09008870581408,5.46062686906532,2020-02-03,"Tank10",16.8,7.76447875186527
"B","11",0.0346,0.0314,0.037,0.0347,0.3378,0.2965,"B11",1.18080185042406,1.26342365131072,7.78244709501999,8.09008870581408,3.80269762151061,2020-02-03,"Tank11",16.7,7.90427657875877
"B","12",0.0365,0.0322,0.035,0.0346,0.3567,0.2915,"B12",1.26315789473684,1.34553431578947,7.8120926584568,8.09008870581408,3.43625462545913,2020-02-03,"Tank12",18,7.91515687169548
"C","02",0.0332,0.0306,0.0332,0.034,0.3287,0.2897,"C02",1.16269065310911,1.24536641630817,7.77568882030898,8.09008870581408,3.88623532989384,2020-02-03,"Sump",13.9,7.93950683785679
"C","03",0.0341,0.0311,0.0338,0.0346,0.4097,0.3985,"C03",1.03816584294344,1.12121262781439,7.72658688778301,8.09008870581408,4.49317468879962,2020-02-03,"Tank1",16.7,7.84684361245049
"C","04",0.0363,0.0345,0.0378,0.0368,0.3071,0.2882,"C04",1.08883553421369,1.1717313487395,7.74715088138779,8.09008870581408,4.23898719651654,2020-02-03,"Tank2",16.7,7.86801517212629
"C","05",0.0395,0.0363,0.0397,0.0387,0.2996,0.3027,"C05",1.00113722517058,1.08429433680819,7.71100241800338,8.09008870581408,4.68581126358062,2020-02-03,"Tank3",16.8,7.82930104808351
"C","06",0.0373,0.0339,0.0365,0.0371,0.2929,0.3121,"C06",0.939811457577955,1.0231512893401,7.68405926111642,8.09008870581408,5.01885034222017,2020-02-03,"Tank4",17.1,7.79709288283807
"C","07",0.0343,0.0312,0.0342,0.035,0.2734,0.2812,"C07",0.980511571254567,1.06373013702801,7.70210399376435,8.09008870581408,4.79580294058947,2020-02-03,"Tank7",17,7.81718037522645
"C","08",0.0346,0.0332,0.0373,0.0349,0.2967,0.3106,"C08",0.964102564102564,1.04737002051282,7.69490832221465,8.09008870581408,4.88474722552088,2020-02-03,"Tank8",17,7.80975647147307
"C","09",0.0381,0.037,0.041,0.037,0.2865,0.3098,"C09",0.928492034086699,1.01186559207114,7.67892066015239,8.09008870581408,5.08236758104025,2020-02-03,"Tank9",17.1,7.79178571577975
"C","10",0.034,0.0299,0.0326,0.0339,0.2924,0.3252,"C10",0.897164332080629,0.980631230953194,7.66441133331221,8.09008870581408,5.26171452478578,2020-02-03,"Tank10",16.8,7.78115382806883
"C","11",0.0401,0.0359,0.0398,0.0402,0.3529,0.3083,"C11",1.18070044709389,1.26332255011177,7.78240950607744,8.09008870581408,3.80316225105815,2020-02-03,"Tank11",16.7,7.90423801171841
"C","12",0.0354,0.0322,0.0344,0.0349,0.3657,0.2959,"C12",1.27480916030534,1.35715086641221,7.81615107730196,8.09008870581408,3.38608930598319,2020-02-03,"Tank12",18,7.91929807997138
"D","01",0.0348,0.0323,0.0363,0.0344,0.319,0.2636,"D01",1.26086956521739,1.34325280434783,7.8112917856504,8.09008870581408,3.44615405716525,2020-02-03,"Tank13",16.9,7.93083398100045
"D","02",0.0346,0.0327,0.037,0.0346,0.3254,0.26,"D02",1.31255605381166,1.39478529304933,7.82908314188681,8.09008870581408,3.22623859166956,2020-02-03,"Tank14",16.9,7.94903298641634
"D","03",0.0352,0.0327,0.0359,0.035,0.3356,0.2807,"D03",1.23714285714286,1.31959679,7.80291309982947,8.09008870581408,3.54972134951042,2020-02-03,"Tank15",16.8,7.92375782056601
