"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu","pHinsitu"
"A","02",0.0346,0.0327,0.0358,0.0352,0.3563,0.3374,"A02",1.07308970099668,1.15603243023256,7.73990842257064,8.09149162219381,4.34509749301142,2020-02-20,"Sump",14,7.90092827947093
"A","03",0.0345,0.0324,0.0359,0.0352,0.2613,0.2603,"A03",1.02011622708985,1.10321679079124,7.71810708116968,8.09149162219381,4.6145328754959,2020-02-20,"Tank1",17,7.83367545049652
"A","04",0.0355,0.0336,0.0365,0.0377,0.3461,0.3492,"A04",0.999355877616747,1.08251829677939,7.70929513097267,8.09149162219381,4.72343677861362,2020-02-20,"Tank2",17,7.82459523137399
"A","05",0.035,0.032,0.0347,0.0351,0.3241,0.4181,"A05",0.761805374380381,0.845675575267415,7.59525145769552,8.09149162219381,6.13286384845502,2020-02-20,"Tank3",17,7.70646624124187
"A","06",0.0359,0.0332,0.0363,0.036,0.2895,0.3474,"A06",0.823794212218649,0.907479717363344,7.62768639108316,8.09149162219381,5.7320115099483,2020-02-20,"Tank4",17,7.7401826918131
"A","07",0.0356,0.0322,0.0362,0.0357,0.2747,0.341,"A07",0.795536593370528,0.879306292090581,7.61317107906344,8.09149162219381,5.9114013270237,2020-02-20,"Tank7",17,7.72510584500157
"A","08",0.0356,0.0328,0.0369,0.0355,0.241,0.2747,"A08",0.87557797393863,0.959109189365279,7.6532073153341,8.09149162219381,5.41660706485267,2020-02-20,"Tank8",17,7.76664415669089
"A","09",0.036,0.0335,0.0375,0.0358,0.3036,0.3673,"A09",0.819090909090909,0.902790427727273,7.62530046169501,8.09149162219381,5.7614984018535,2020-02-20,"Tank9",17,7.73770579100266
"A","10",0.0362,0.0348,0.0399,0.036,0.304,0.3576,"A10",0.847436300723498,0.931051364265492,7.63950480587064,8.09149162219381,5.5859517308705,2020-02-20,"Tank10",17,7.75244403458865
"A","11",0.035,0.0389,0.0422,0.0355,0.4001,0.2941,"A11",1.43476531424025,1.51663043098648,7.86793430932086,8.09149162219381,2.7628689901843,2020-02-20,"Tank11",17,7.98719120680301
"A","12",0.0378,0.0386,0.0419,0.0369,0.4119,0.3054,"A12",1.41527987897126,1.49720305257186,7.86179108421908,8.09149162219381,2.8387910251887,2020-02-20,"Tank12",17,7.98092480401567
