Well Location,Group Name,Group Type,Sample Name,Descriptor1 Name,Descriptor1 Value,Descriptor1 Units,Descriptor2 Name,Descriptor2 Value,Descriptor2 Units
A01,Unknowns,Unknowns,Tris,,,,,,
A02,Unknowns,Unknowns,Tris,,,,,,
A03,Unknowns,Unknowns,Tris,,,,,,
A04,Unknowns,Unknowns,RZ,,,,,,
A05,Unknowns,Unknowns,RZ,,,,,,
A06,Unknowns,Unknowns,RZ,,,,,,
A07,Unknowns,Unknowns,XU,,,,,,
A08,Unknowns,Unknowns,XU,,,,,,
A09,Unknowns,Unknowns,XU,,,,,,
A10,Unknowns,Unknowns,XP,,,,,,
A11,Unknowns,Unknowns,XP,,,,,,
A12,Unknowns,Unknowns,XP,,,,,,
B01,Unknowns,Unknowns,YR,,,,,,
B02,Unknowns,Unknowns,YR,,,,,,
B03,Unknowns,Unknowns,YR,,,,,,
B04,Unknowns,Unknowns,YA,,,,,,
B05,Unknowns,Unknowns,YA,,,,,,
B06,Unknowns,Unknowns,YA,,,,,,
B07,Unknowns,Unknowns,VI,,,,,,
B08,Unknowns,Unknowns,VI,,,,,,
B09,Unknowns,Unknowns,VI,,,,,,
B10,Unknowns,Unknowns,WT,,,,,,
B11,Unknowns,Unknowns,WT,,,,,,
B12,Unknowns,Unknowns,WT,,,,,,
C01,Unknowns,Unknowns,YQ,,,,,,
C02,Unknowns,Unknowns,YQ,,,,,,
C03,Unknowns,Unknowns,YQ,,,,,,
C04,Unknowns,Unknowns,YJ,,,,,,
C05,Unknowns,Unknowns,YJ,,,,,,
C06,Unknowns,Unknowns,YJ,,,,,,
C07,Unknowns,Unknowns,XT,,,,,,
C08,Unknowns,Unknowns,XT,,,,,,
C09,Unknowns,Unknowns,XT,,,,,,
C10,Unknowns,Unknowns,YL,,,,,,
C11,Unknowns,Unknowns,YL,,,,,,
C12,Unknowns,Unknowns,YL,,,,,,
D01,Unknowns,Unknowns,XL,,,,,,
D02,Unknowns,Unknowns,XL,,,,,,
D03,Unknowns,Unknowns,XL,,,,,,
D04,Unknowns,Unknowns,XH,,,,,,
D05,Unknowns,Unknowns,XH,,,,,,
D06,Unknowns,Unknowns,XH,,,,,,
D07,Unknowns,Unknowns,WP,,,,,,
D08,Unknowns,Unknowns,WP,,,,,,
D09,Unknowns,Unknowns,WP,,,,,,
D10,Unknowns,Unknowns,XQ,,,,,,
D11,Unknowns,Unknowns,XQ,,,,,,
D12,Unknowns,Unknowns,XQ,,,,,,
E01,Unknowns,Unknowns,YG,,,,,,
E02,Unknowns,Unknowns,YG,,,,,,
E03,Unknowns,Unknowns,YG,,,,,,
E04,Unknowns,Unknowns,XD,,,,,,
E05,Unknowns,Unknowns,XD,,,,,,
E06,Unknowns,Unknowns,XD,,,,,,
E07,Unknowns,Unknowns,YH,,,,,,
E08,Unknowns,Unknowns,YH,,,,,,
E09,Unknowns,Unknowns,YH,,,,,,
E10,Unknowns,Unknowns,WL,,,,,,
E11,Unknowns,Unknowns,WL,,,,,,
E12,Unknowns,Unknowns,WL,,,,,,
F01,Unknowns,Unknowns,XB,,,,,,
F02,Unknowns,Unknowns,XB,,,,,,
F03,Unknowns,Unknowns,XB,,,,,,
F04,Unknowns,Unknowns,XS,,,,,,
F05,Unknowns,Unknowns,XS,,,,,,
F06,Unknowns,Unknowns,XS,,,,,,
F07,Unknowns,Unknowns,WO,,,,,,
F08,Unknowns,Unknowns,WO,,,,,,
F09,Unknowns,Unknowns,WO,,,,,,
F10,Unknowns,Unknowns,WW,,,,,,
F11,Unknowns,Unknowns,WW,,,,,,
F12,Unknowns,Unknowns,WW,,,,,,
G01,Unknowns,Unknowns,XJ,,,,,,
G02,Unknowns,Unknowns,XJ,,,,,,
G03,Unknowns,Unknowns,XJ,,,,,,
G04,Unknowns,Unknowns,WR,,,,,,
G05,Unknowns,Unknowns,WR,,,,,,
G06,Unknowns,Unknowns,WR,,,,,,
G07,Unknowns,Unknowns,XW,,,,,,
G08,Unknowns,Unknowns,XW,,,,,,
G09,Unknowns,Unknowns,XW,,,,,,
G10,Unknowns,Unknowns,YK,,,,,,
G11,Unknowns,Unknowns,YK,,,,,,
G12,Unknowns,Unknowns,YK,,,,,,
H01,Unknowns,Unknowns,YE,,,,,,
H02,Unknowns,Unknowns,YE,,,,,,
H03,Unknowns,Unknowns,YE,,,,,,
H04,Unknowns,Unknowns,WN,,,,,,
H05,Unknowns,Unknowns,WN,,,,,,
H06,Unknowns,Unknowns,WN,,,,,,
H07,Unknowns,Unknowns,Tris,,,,,,
H08,Unknowns,Unknowns,Tris,,,,,,
H09,Unknowns,Unknowns,Tris,,,,,,
H10,,,,,,,,,
H11,,,,,,,,,
H12,,,,,,,,,
