"Rows","Column","NoDye_730","NoDye_578","NoDye_434","Dye_730","Dye_578","Dye_434","Well.Location","A1_A2","A1_A2_corr","pH_in_lab","pHtris","pHtris_error","daterun","Sample.Name","TempInSitu"
"A","01",0.036,0.0332,0.0363,0.0354,0.4764,0.2135,"A01",2.49606299212598,2.56151538976378,8.12033390152926,8.07903433800492,0.511194306107459,2022-08-10,"A",NA
"A","02",0.0372,0.0332,0.037,0.0366,0.5056,0.2258,"A02",2.4973600844773,2.5628088093981,8.12059095885176,8.07903433800492,0.514376088876787,2022-08-10,"A",NA
"A","03",0.0363,0.032,0.0346,0.037,0.4786,0.2127,"A03",2.51352874859076,2.57893169193912,8.12378623926323,8.07903433800492,0.553926365280927,2022-08-10,"A",NA
"A","04",0.0344,0.0284,0.0304,0.0366,0.5226,0.2307,"A04",2.48359414437153,2.54908184755174,8.11785730273616,8.07903433800492,0.480539667328993,2022-08-10,"B",NA
"A","05",0.0339,0.0279,0.0296,0.0357,0.5362,0.2361,"A05",2.47435271128481,2.5398665815828,8.1160152419879,8.07903433800492,0.457739160842808,2022-08-10,"B",NA
"A","06",0.034,0.0283,0.0307,0.0364,0.5238,0.2314,"A06",2.48663640948059,2.55211549848714,8.11846249235207,8.07903433800492,0.488030533075974,2022-08-10,"B",NA
"B","01",0.0383,0.0338,0.0365,0.0366,0.498,0.2217,"B01",2.49277688603531,2.5582385882825,8.11968217839635,8.07903433800492,0.503127461659884,2022-08-10,"D",NA
"B","02",0.036,0.0313,0.0338,0.037,0.4748,0.2123,"B02",2.49295774647887,2.55841893661972,8.11971806594189,8.07903433800492,0.503571667539361,2022-08-10,"D",NA
"B","03",0.0373,0.0356,0.0378,0.0361,0.4993,0.222,"B03",2.50755124056095,2.5729711092233,8.12260689315675,8.07903433800492,0.539328753027551,2022-08-10,"D",NA
"B","04",0.0343,0.0284,0.0301,0.0361,0.5703,0.2486,"B04",2.49238578680203,2.5578485964467,8.11960456665579,8.07903433800492,0.502166805505787,2022-08-10,"C",NA
"B","05",0.0346,0.0291,0.0307,0.0376,0.565,0.2479,"B05",2.48786181139122,2.55333743067227,8.11870608901019,8.07903433800492,0.491045703552061,2022-08-10,"C",NA
"B","06",0.0352,0.0301,0.0321,0.0384,0.5443,0.2408,"B06",2.48661800486618,2.5520971459854,8.11845883297336,8.07903433800492,0.487985238322151,2022-08-10,"C",NA
"C","01",0.0375,0.0315,0.034,0.0369,0.499,0.2226,"C01",2.47410147991543,2.53961606157505,8.11596508723825,8.07903433800492,0.457118359549574,2022-08-10,"E",NA
"C","02",0.0356,0.0308,0.0328,0.036,0.534,0.2357,"C02",2.48296296296296,2.54845245333333,8.11773166837845,8.07903433800492,0.478984600814186,2022-08-10,"E",NA
"C","03",0.0348,0.0308,0.0326,0.0364,0.5297,0.2343,"C03",2.48525737131434,2.55074036506747,8.11818823828142,8.07903433800492,0.484635893826085,2022-08-10,"E",NA
"C","04",0.0347,0.029,0.0306,0.0369,0.5027,0.2225,"C04",2.48550342646284,2.55098572351081,8.11823718114028,8.07903433800492,0.485241694678116,2022-08-10,"F",NA
"C","05",0.0342,0.0287,0.0306,0.0368,0.4954,0.22,"C05",2.48447537473233,2.54996058270878,8.11803266521015,8.07903433800492,0.482710254389926,2022-08-10,"F",NA
"C","06",0.0346,0.0287,0.0307,0.0369,0.4372,0.1968,"C06",2.47985347985348,2.54535177472527,8.11711235947731,8.07903433800492,0.471318970551633,2022-08-10,"F",NA
